account_id,home_lat,home_lon,base_score
A0000,-5.812476,85.127581,0.646818
A0001,-10.19818,2.456637,0.73822
A0002,-36.51532,79.682399,0.809824
A0003,32.081448,-0.770261,0.917591
A0004,27.479008,85.356816,0.546578
A0005,58.783639,25.451144,0.925113
A0006,-59.725725,-1.199502,0.735177
A0007,-15.420203,-103.646004,0.559283
A0008,-32.86424,143.596877,0.644463
A0009,32.973371,-76.161596,0.411023
A0010,32.687884,105.396994,0.871044
A0011,-7.69274,110.411503,0.826511
A0012,13.507172,-140.839552,0.770709
A0013,48.471027,-140.389022,0.858769
A0014,14.673828,-52.971701,0.5856
A0015,43.177615,33.642841,0.358304
A0016,-45.874254,132.475818,0.351388
A0017,-58.748363,-55.999652,0.744326
A0018,-7.316478,-89.337778,0.643119
A0019,-6.799704,-165.742412,0.909253
A0020,-10.210643,-85.214914,0.638223
A0021,37.287788,15.504084,0.701683
A0022,-3.929041,-120.701486,0.755653
A0023,3.019734,-52.05523,0.781538
A0024,51.741672,-55.26989,0.881286
A0025,16.527232,148.230632,0.46892
A0026,18.022054,80.685698,0.785624
A0027,-5.366235,75.947819,0.614282
A0028,56.652563,110.942593,0.653378
A0029,56.421765,-53.214403,0.458085
A0030,47.559208,34.976453,0.473942
A0031,-18.126527,108.307539,0.664986
A0032,-47.918092,-160.270418,0.652081
A0033,18.188987,107.179737,0.322337
A0034,43.178617,126.482592,0.532864
A0035,2.658134,-73.117518,0.744044
A0036,-40.328157,-78.136587,0.922279
A0037,30.182939,-120.487115,0.504995
A0038,55.474564,-62.778848,0.454009
A0039,-20.389655,33.379051,0.744937
A0040,43.541184,42.107859,0.680418
A0041,-20.524404,-119.84376,0.736999
A0042,44.775835,-57.360219,0.712188
A0043,-41.175041,-4.022224,0.702384
A0044,-49.502723,-166.783309,0.560271
A0045,-22.118266,67.591174,0.401309
A0046,-22.43799,-55.23071,0.478036
A0047,-18.44804,89.024356,0.375574
A0048,-14.660984,-152.024233,0.835222
A0049,-24.047859,84.806945,0.724935
A0050,-44.63935,164.750447,0.57938
A0051,-2.814555,38.382847,0.428718
A0052,-35.416449,-65.699252,0.343377
A0053,-4.165361,161.653835,0.834576
A0054,-31.526027,162.619168,0.484393
A0055,35.864737,-9.277714,0.603653
A0056,-16.560248,71.155133,0.522993
A0057,19.782977,19.818463,0.937747
A0058,42.875261,131.330699,0.321157
A0059,-16.498205,-156.027719,0.344031
