account_id,home_lat,home_lon,base_score
A0000,-28.843533,-119.799095,0.62852
A0001,1.776744,136.827521,0.935668
A0002,-36.96545,-50.453129,0.665836
A0003,38.791265,161.515332,0.860758
A0004,-38.357304,10.983075,0.90232
A0005,-18.357427,34.53726,0.486475
A0006,53.260973,4.141489,0.427478
A0007,-47.1061,155.079703,0.831929
A0008,55.608461,-144.07454,0.375049
A0009,-12.554317,64.12673,0.534923
A0010,-36.477439,-21.014459,0.861108
A0011,-25.955736,-97.726061,0.656847
A0012,13.251023,-138.302558,0.385122
A0013,43.942655,67.667943,0.849026
A0014,8.715096,-45.494131,0.726117
A0015,29.221889,-75.310857,0.445071
A0016,-23.141513,-94.75436,0.543401
A0017,59.327974,29.851033,0.638376
A0018,-31.974161,-25.028299,0.697771
A0019,-24.878051,-55.78073,0.52132
A0020,-5.345319,168.418023,0.925516
A0021,-53.651174,100.608872,0.453289
A0022,57.326112,134.10163,0.427017
A0023,-19.027308,6.018439,0.88814
A0024,-24.386144,108.782879,0.839923
A0025,-25.642117,57.447222,0.796994
A0026,39.944203,79.155364,0.444698
A0027,15.203104,91.983574,0.7573
A0028,-43.868165,38.009818,0.920335
A0029,10.959998,83.01443,0.552765
A0030,-46.944893,105.723125,0.669183
A0031,-4.091487,116.440448,0.329741
A0032,-15.851227,-21.232706,0.453272
A0033,-12.498364,51.597886,0.436187
A0034,31.739605,-55.510532,0.620663
A0035,50.283161,70.375353,0.554322
A0036,8.793028,86.308509,0.799676
A0037,-47.071226,109.885329,0.603271
A0038,14.380547,165.672228,0.306184
A0039,46.866812,-140.059985,0.802902
A0040,5.366658,-157.68372,0.57959
A0041,-15.585394,-158.296522,0.4581
A0042,33.336341,-84.412425,0.801107
A0043,51.400738,-50.923228,0.631031
A0044,21.530698,58.032772,0.680354
A0045,52.095246,-169.94613,0.543276
A0046,-41.709432,31.841029,0.425505
A0047,-26.217054,-41.957554,0.91498
A0048,-14.277549,108.816789,0.818463
A0049,3.793392,54.247237,0.351593
A0050,59.709275,-3.248084,0.503966
A0051,31.567527,22.744035,0.40344
A0052,24.552358,-100.623668,0.505898
A0053,-59.929038,-115.870575,0.349483
A0054,-22.638161,107.582495,0.720191
A0055,-30.736087,137.627704,0.846778
A0056,28.245552,-118.609537,0.613165
A0057,-24.576172,11.286127,0.533493
A0058,-48.370002,-155.003748,0.480676
A0059,26.277458,103.340471,0.947519
