transaction_id,cc_num,datetime,amount,merchant,category,lat,long
T000032790,434500000161,2025-12-08T05:14:00Z,16.13,m_693,electronics,36.6837,-88.6509
T000032791,492800000125,2025-12-08T05:20:00Z,18.24,m_536,online,45.5661,-89.8697
T000032792,404300000189,2025-12-08T05:34:00Z,20.63,m_554,clothing,26.7548,-117.067
T000032793,465400000137,2025-12-08T05:58:00Z,8.46,m_583,cash_advance,37.5118,-117.2041
T000032794,454900000187,2025-12-08T06:15:00Z,11.88,m_798,health,41.6505,-111.6612
T000032796,483600000122,2025-12-08T06:43:00Z,8.0,m_607,online,30.2144,-90.0452
T000032797,471900000226,2025-12-08T06:44:00Z,4.45,m_522,clothing,32.0702,-116.0017
T000032799,452600000257,2025-12-08T07:35:00Z,17.65,m_085,health,29.1708,-106.2614
T000032800,421500000087,2025-12-08T08:02:00Z,20.62,m_063,grocery,46.851,-100.3628
T000032801,492900000273,2025-12-08T08:04:00Z,37.51,m_544,grocery,32.8597,-118.3407
T000032803,442200000037,2025-12-08T08:10:00Z,79.68,m_728,travel,33.2647,-106.2696
T000032804,450800000191,2025-12-08T08:16:00Z,14.81,m_502,health,42.6193,-75.8311
T000032806,454400000155,2025-12-08T08:19:00Z,74.28,m_613,restaurant,33.5349,-92.9267
T000032807,478800000015,2025-12-08T08:23:00Z,56.67,m_128,restaurant,29.8602,-113.0942
T000032809,465400000150,2025-12-08T08:27:00Z,6.2,m_382,electronics,25.8196,-78.1925
T000032810,403000000031,2025-12-08T08:30:00Z,21.02,m_615,clothing,34.8164,-89.6144
T000032811,472500000070,2025-12-08T08:32:00Z,47.86,m_411,travel,38.1894,-101.5916
T000032812,440200000212,2025-12-08T08:35:00Z,44.07,m_277,restaurant,45.8713,-102.7597
T000032814,413700000232,2025-12-08T08:37:00Z,112.62,m_535,restaurant,42.6446,-105.975
T000032816,454400000155,2025-12-08T08:46:00Z,48.92,m_403,grocery,33.0141,-92.89
T000032818,465400000137,2025-12-08T08:50:00Z,22.37,m_671,travel,36.693,-116.4304
T000032820,431600000056,2025-12-08T08:56:00Z,13.38,m_314,restaurant,44.6265,-84.1332
T000032822,453700000255,2025-12-08T09:00:00Z,16.62,m_243,travel,25.3386,-112.0042
T000032823,472200000195,2025-12-08T09:05:00Z,24.76,m_774,clothing,35.2609,-80.8642
T000032825,460200000124,2025-12-08T09:09:00Z,33.64,m_189,travel,47.3097,-74.8604
T000032826,470100000147,2025-12-08T09:09:00Z,18.04,m_212,fuel,30.3458,-83.7656
T000032827,447000000194,2025-12-08T09:10:00Z,5.65,m_303,travel,35.403,-81.2181
T000032828,475100000009,2025-12-08T09:13:00Z,36.99,m_091,online,32.9752,-78.409
T000032829,405300000080,2025-12-08T09:15:00Z,42.19,m_400,restaurant,47.0891,-87.1887
T000032832,479800000010,2025-12-08T09:21:00Z,11.59,m_175,travel,36.5564,-118.0256
T000032834,498300000053,2025-12-08T09:25:00Z,9.02,m_450,health,34.1786,-119.6112
T000032836,484400000030,2025-12-08T09:29:00Z,35.4,m_764,grocery,29.888,-72.9377
T000032837,493900000199,2025-12-08T09:31:00Z,21.0,m_628,grocery,41.6934,-90.3424
T000032839,475700000260,2025-12-08T09:35:00Z,4.11,m_375,restaurant,26.7605,-99.4927
T000032840,448600000179,2025-12-08T09:35:00Z,14.05,m_030,health,30.6239,-109.0951
T000032841,432200000285,2025-12-08T09:35:00Z,14.95,m_077,grocery,42.2197,-113.6083
T000032843,479800000010,2025-12-08T09:47:00Z,12.12,m_392,restaurant,36.7344,-118.2222
T000032844,463700000291,2025-12-08T09:47:00Z,20.05,m_508,entertainment,38.0682,-84.6654
T000032845,478700000011,2025-12-08T09:52:00Z,50.49,m_490,grocery,45.5731,-93.1793
T000032846,436200000283,2025-12-08T09:52:00Z,25.34,m_057,restaurant,30.7344,-117.8546
T000032847,425300000079,2025-12-08T09:53:00Z,18.09,m_147,cash_advance,36.0126,-75.4672
T000032848,418600000223,2025-12-08T09:55:00Z,6.47,m_565,health,48.7734,-78.0047
T000032852,473300000089,2025-12-08T10:08:00Z,5.83,m_241,entertainment,39.1131,-74.2801
T000032853,448100000292,2025-12-08T10:10:00Z,49.66,m_177,entertainment,32.6031,-93.791
T000032854,465400000137,2025-12-08T10:12:00Z,21.5,m_524,electronics,37.1173,-117.2242
T000032855,468700000127,2025-12-08T10:13:00Z,21.77,m_053,health,31.7252,-122.955
T000032856,474600000256,2025-12-08T10:16:00Z,14.58,m_486,restaurant,26.4021,-89.46
T000032857,421000000049,2025-12-08T10:16:00Z,10.87,m_650,health,38.7707,-107.2616
T000032858,452600000257,2025-12-08T10:22:00Z,55.79,m_090,grocery,28.3945,-105.2731
T000032859,405300000080,2025-12-08T10:27:00Z,21.51,m_340,cash_advance,47.848,-87.7737
T000032860,426800000149,2025-12-08T10:30:00Z,39.01,m_239,travel,30.8238,-118.5045
T000032862,442700000200,2025-12-08T10:32:00Z,17.43,m_238,cash_advance,44.7549,-93.9855
T000032863,475100000009,2025-12-08T10:35:00Z,15.05,m_126,entertainment,32.7382,-78.1966
T000032864,456300000265,2025-12-08T10:38:00Z,28.61,m_600,cash_advance,35.5548,-122.9711
T000032865,487500000214,2025-12-08T10:38:00Z,17.61,m_686,electronics,46.6355,-94.9639
T000032866,464600000139,2025-12-08T10:41:00Z,124.78,m_662,electronics,34.7713,-94.9748
T000032867,413300000210,2025-12-08T10:43:00Z,30.63,m_003,grocery,31.9199,-100.8273
T000032868,432200000285,2025-12-08T10:46:00Z,13.13,m_012,travel,42.3163,-113.3988
T000032869,434800000074,2025-12-08T10:47:00Z,14.24,m_024,health,34.9444,-110.2451
T000032870,492500000154,2025-12-08T10:48:00Z,16.82,m_541,clothing,31.0349,-111.7762
T000032871,464600000139,2025-12-08T10:52:00Z,23.79,m_752,cash_advance,40.3775,-84.8772
T000032872,452800000233,2025-12-08T10:57:00Z,10.32,m_253,fuel,35.2956,-73.55
T000032873,479800000010,2025-12-08T10:58:00Z,11.89,m_371,fuel,36.9065,-117.8713
