row_id,name,balance_eur,updated_at
C00000,Alan Knuth,22822.36,1768452240000
C00001,John Lovelace,13948.59,1768476060000
C00002,Alan Hamilton,19975.81,1768485060000
C00003,Ada Perlman,27047.97,1768523760000
C00004,John Allen,47877.23,1768531620000
C00005,John Perlman,39367.4,1768537560000
C00006,Alan Hopper,218.13,1768613700000
C00007,Alan Dijkstra,19050.07,1768642440000
C00008,Donald Perlman,47607.47,1768646100000
C00009,Vint Lovelace,14724.84,1768651860000
C00010,Tim Knuth,2055.35,1768659900000
C00011,Barbara McCarthy,30790.65,1768676580000
C00012,Alan McCarthy,11220.14,1768708980000
C00013,Tim Lovelace,39979.75,1768722720000
C00014,Edsger Liskov,35593.44,1768729980000
C00015,Alan Hamilton,1983.16,1768743540000
C00016,Donald Allen,36128.91,1768754640000
C00017,Radia Knuth,1126.53,1768758120000
C00018,Margaret Turing,14110.31,1768766400000
C00019,Margaret Turing,40710.29,1768785840000
C00020,Edsger Hopper,12675.45,1768793700000
C00021,Ada Hopper,31743.78,1768795440000
C00022,Ada Cerf,11912.01,1768812060000
C00023,Vint Perlman,37067.69,1768817880000
C00024,Frances Perlman,41592.18,1768820160000
C00025,Edsger Knuth,6537.56,1768835220000
C00026,Edsger Hopper,15577.66,1768852500000
C00027,Frances Knuth,38151.11,1768854180000
C00028,Vint Liskov,33896.98,1768885380000
C00029,Radia Lovelace,32845.05,1768894800000
C00030,Edsger Perlman,15413.65,1768912440000
C00031,Ada Lovelace,35684.33,1768913400000
C00032,Donald Perlman,31585.03,1768943520000
C00033,Barbara Lovelace,25337.16,1768950720000
C00034,Tim Cerf,21410.13,1768956960000
C00035,Alan Hamilton,48328.59,1768969560000
C00036,Grace Lovelace,29819.6,1768993140000
C00037,Radia Knuth,9205.24,1768993980000
C00038,Ada Perlman,47524.85,1768998900000
C00039,Ada Berners-Lee,47642.85,1769005380000
C00040,Alan Turing,34195.35,1769018880000
C00041,Grace Allen,30106.7,1769022720000
C00042,Tim Turing,15978.43,1769042940000
C00043,Vint Dijkstra,22182.7,1769092440000
C00044,Grace Turing,-407.45,1769109480000
C00045,Edsger Perlman,2645.52,1769114040000
C00046,Alan Allen,16436.06,1769129160000
C00047,Edsger Lovelace,42327.35,1769169120000
