row_id,name,balance_eur,updated_at
C00000,Ada Allen,42223.92,1768480140000
C00001,Margaret Turing,33725.05,1768480140000
C00002,Margaret Hamilton,29778.63,1768511100000
C00003,Grace Turing,18912.08,1768522200000
C00004,Vint Liskov,4012.2,1768557300000
C00005,Grace Hopper,18034.16,1768612500000
C00006,Vint Allen,21513.42,1768616760000
C00007,Barbara Dijkstra,12120.25,1768629360000
C00008,Radia Liskov,43812.41,1768639500000
C00009,Margaret McCarthy,38626.34,1768678980000
C00010,Radia Liskov,32711.58,1768686240000
C00011,Edsger Lovelace,11709.56,1768708200000
C00012,Alan Liskov,36370.05,1768738860000
C00013,Vint Allen,11023.12,1768746360000
C00014,Alan Allen,17768.62,1768753380000
C00015,Grace Knuth,-658.71,1768754400000
C00016,Radia McCarthy,29.05,1768771560000
C00017,Radia Lovelace,40567.68,1768773060000
C00018,Vint McCarthy,13633.15,1768786560000
C00019,Margaret Perlman,36937.49,1768838340000
C00020,Alan Turing,43695.65,1768850640000
C00021,Frances Turing,7915.1,1768854180000
C00022,Tim Turing,19141.96,1768918980000
C00023,Ada McCarthy,24384.71,1768924860000
C00024,Frances McCarthy,36655.37,1768931820000
C00025,Tim Hopper,39703.29,1768937880000
C00026,Alan Knuth,14927.84,1768965120000
C00027,Edsger Allen,-1899.95,1768981740000
C00028,Barbara Cerf,49180.49,1769017800000
C00029,John McCarthy,41010.94,1769037420000
C00030,Vint Knuth,26586.69,1769053200000
C00031,Grace McCarthy,-1267.94,1769097420000
C00032,Ada Dijkstra,806.96,1769105700000
C00033,Tim Perlman,14854.92,1769110140000
C00034,Radia Perlman,9988.18,1769112960000
C00035,Margaret Lovelace,33406.7,1769118360000
C00036,Ada Lovelace,3953.29,1769121540000
C00037,Vint Knuth,49879.81,1769121840000
C00038,Margaret Hamilton,-729.59,1769153820000
C00039,Donald Hamilton,46444.87,1769154000000
C00040,Barbara Cerf,18431.41,1769164980000
C00041,Alan Knuth,49336.77,1769173020000
C00042,Frances Liskov,6475.04,1769175960000
C00043,Ada Liskov,46614.98,1769191920000
C00044,Ada Berners-Lee,43507.75,1769199780000
C00045,Margaret Hopper,2258.61,1769209140000
C00046,Donald Allen,24309.21,1769215260000
C00047,Grace Allen,16805.49,1769228040000
C00048,Donald Perlman,39567.66,1769229480000
C00049,Grace Berners-Lee,14491.0,1769232660000
C00050,Radia Cerf,11583.65,1769233980000
C00051,Frances Perlman,9210.89,1769236080000
C00052,Grace Allen,17973.11,1769241720000
C00053,Ada Berners-Lee,8178.66,1769254080000
C00054,John Cerf,13489.3,1769258940000
C00055,Tim Hamilton,36382.39,1769260500000
C00056,Vint Lovelace,42091.88,1769315700000
C00057,Barbara Dijkstra,31902.08,1769349060000
C00058,Donald Allen,27627.02,1769369880000
C00059,Frances Perlman,-1744.02,1769378700000
C00060,John Berners-Lee,19721.05,1769381640000
C00061,Ada Hopper,46638.01,1769392320000
C00062,Barbara Allen,17080.5,1769397180000
C00063,Alan Liskov,17149.89,1769415300000
C00064,Alan Turing,45893.88,1769434500000
C00065,Donald Hopper,15098.13,1769457240000
C00066,Vint Berners-Lee,32824.53,1769459520000
C00067,Radia Knuth,3985.99,1769502060000
C00068,Edsger McCarthy,36279.37,1769512260000
C00069,John Perlman,4612.14,1769524560000
C00070,Grace Cerf,8060.59,1769526000000
C00071,Edsger Hopper,835.93,1769528160000
C00072,Edsger Hamilton,2309.5,1769541780000
C00073,Barbara Berners-Lee,20943.98,1769543520000
C00074,Frances Dijkstra,45828.75,1769545680000
C00075,Alan McCarthy,49331.93,1769551500000
C00076,Tim Cerf,34071.98,1769554020000
C00077,Barbara Hopper,16875.57,1769559240000
C00078,Ada Berners-Lee,12447.53,1769563380000
C00079,Barbara Dijkstra,14837.01,1769563980000
C00080,Grace Cerf,24704.31,1769579820000
C00081,Frances Hamilton,10253.49,1769583660000
C00082,Margaret Hamilton,12240.33,1769604300000
C00083,Barbara Hopper,13455.3,1769610540000
C00084,Vint Liskov,6059.81,1769614200000
C00085,Grace McCarthy,18503.88,1769654520000
C00086,Edsger Hamilton,11263.15,1769656680000
C00087,Radia Hamilton,6778.14,1769683500000
C00088,Vint Allen,43621.58,1769717640000
C00089,Radia McCarthy,39820.35,1769775840000
C00090,John Hopper,47604.8,1769777220000
C00091,John McCarthy,12050.91,1769779800000
C00092,Margaret Turing,22456.8,1769794620000
C00093,Grace Cerf,11350.3,1769802360000
C00094,Grace Turing,7924.82,1769804100000
C00095,Donald Knuth,33761.84,1769831640000
C00096,Frances Dijkstra,25268.67,1769834220000
C00097,Edsger Knuth,21809.6,1769846520000
C00098,Vint Hamilton,31116.94,1769864880000
C00099,Donald Dijkstra,18802.77,1769884500000
C00100,Margaret McCarthy,24022.43,1769893200000
C00101,Margaret Perlman,39651.57,1769905020000
C00102,Margaret Allen,32865.57,1769920620000
C00103,Radia Turing,4794.81,1769939160000
C00104,Frances Turing,16966.92,1769951940000
C00105,Frances Dijkstra,42363.73,1769958600000
C00106,Edsger Berners-Lee,40079.35,1769960160000
C00107,John Liskov,32598.11,1769984940000
C00108,Grace Hamilton,7774.66,1770004140000
C00109,Margaret Dijkstra,25512.82,1770013740000
C00110,Grace Berners-Lee,10474.71,1770111720000
C00111,Tim Perlman,32497.44,1770114900000
C00112,Donald Hamilton,25885.93,1770150360000
C00113,Margaret Knuth,14303.2,1770188280000
C00114,Grace Turing,6439.2,1770192780000
C00115,Grace Lovelace,38025.23,1770203340000
C00116,Grace Berners-Lee,22544.17,1770244140000
C00117,Alan Perlman,12885.01,1770259920000
C00118,Frances Hamilton,3087.29,1770285000000
C00119,Frances Lovelace,7765.09,1770294660000
C00120,Tim Turing,42608.54,1770311640000
C00121,Tim Dijkstra,457.19,1770345000000
C00122,Grace Turing,38947.82,1770348900000
C00123,Barbara Lovelace,15069.18,1770356280000
