row_id,full_name,balance,currency,updated_at
C00088,Edsger Liskov,47843.94,EUR,1775244300000
C00119,Alan Hamilton,16927.35,USD,1775312760000
C00060,Tim McCarthy,18629.62,GBP,1775176860000
C00003,Tim Lovelace,-1473.79,USD,1775018820000
C00219,Alan Liskov,22699.67,GBP,1775578440000
C00111,Frances McCarthy,46342.56,USD,1775300340000
C00173,Margaret Liskov,13572.68,EUR,1775460180000
C00067,Vint Lovelace,44725.4,EUR,1775208000000
C00187,Alan Dijkstra,43201.54,EUR,1775490240000
C00220,Vint Liskov,28756.39,USD,1775578560000
C00147,Margaret Allen,30071.25,USD,1775381040000
C00198,Edsger Turing,22508.7,USD,1775524440000
C00068,Grace Dijkstra,14637.59,SEK,1775208360000
C00064,Frances Cerf,2020.79,GBP,1775205480000
C00091,Grace Knuth,5010.43,GBP,1775250660000
C00095,Tim McCarthy,6443.03,EUR,1775252940000
C00046,Donald Berners-Lee,22825.31,EUR,1775119320000
C00216,Margaret Hamilton,28640.52,GBP,1775564580000
C00211,John Liskov,12406.03,USD,1775549880000
C00098,Frances Turing,49622.7,EUR,1775255760000
C00010,John Berners-Lee,33133.1,EUR,1775038080000
C00162,Radia Turing,4597.43,SEK,1775433000000
C00115,Edsger Cerf,43497.99,SEK,1775308020000
C00152,Grace Lovelace,3569.76,USD,1775399880000
C00199,Grace Cerf,43421.63,SEK,1775525400000
C00037,Donald Turing,3705.45,EUR,1775084340000
C00059,Edsger Lovelace,5868.1,SEK,1775169540000
C00195,Edsger Turing,31654.48,SEK,1775500440000
C00135,Alan Hamilton,35898.92,GBP,1775346840000
C00089,Edsger Lovelace,17473.56,USD,1775245020000
C00102,Barbara Turing,13285.23,GBP,1775266860000
C00141,Grace Perlman,28229.57,EUR,1775352540000
C00181,John Knuth,43717.31,EUR,1775468640000
C00066,Tim Hopper,9903.33,SEK,1775207880000
C00004,Barbara Hopper,2175.31,EUR,1775020920000
C00142,Vint Turing,35812.77,USD,1775353980000
C00011,Vint Berners-Lee,21552.98,SEK,1775038500000
C00084,Radia Knuth,46748.91,EUR,1775234520000
C00101,Margaret Knuth,14791.84,SEK,1775264400000
C00182,Barbara Berners-Lee,47191.63,USD,1775471280000
C00112,Barbara Berners-Lee,47075.25,GBP,1775303520000
C00206,Barbara Turing,3801.9,SEK,1775534580000
C00190,Vint Hopper,5539.2,EUR,1775493720000
C00126,John Hopper,45945.65,EUR,1775326140000
C00051,Margaret Perlman,24979.37,SEK,1775141700000
C00132,Tim Liskov,17657.12,USD,1775334480000
C00175,Ada Cerf,37833.53,USD,1775463180000
C00083,Margaret Turing,-234.05,EUR,1775231040000
C00094,Radia Hamilton,8284.8,USD,1775251740000
C00013,Vint Turing,23832.81,USD,1775044560000
C00049,Frances Perlman,41721.78,GBP,1775134620000
C00116,Frances Hamilton,47613.48,GBP,1775308800000
C00097,Ada Turing,11031.91,USD,1775255100000
C00158,Tim McCarthy,34481.02,USD,1775422740000
C00104,Edsger Turing,9244.8,GBP,1775273520000
C00200,John Dijkstra,11293.12,GBP,1775526780000
C00221,Alan Lovelace,24326.28,GBP,1775578800000
C00171,Frances Allen,24429.38,USD,1775451300000
C00028,Frances Dijkstra,44611.46,USD,1775062260000
C00205,Donald Hopper,2315.27,SEK,1775534340000
C00186,Frances Dijkstra,28805.36,EUR,1775484660000
C00076,Grace McCarthy,30018.77,USD,1775214780000
C00192,Tim Hopper,24153.0,USD,1775498340000
C00062,Frances McCarthy,14969.85,SEK,1775186340000
