row_id,full_name,balance,currency,updated_at
C00116,Tim Lovelace,42528.45,GBP,1775280240000
C00207,Alan Perlman,44888.52,SEK,1775574780000
C00009,Margaret Cerf,39472.75,SEK,1775022300000
C00113,Donald Perlman,44151.03,SEK,1775272440000
C00004,Frances Berners-Lee,28186.83,SEK,1775019360000
C00010,Alan Liskov,19758.81,GBP,1775024100000
C00006,Frances Hamilton,19677.94,SEK,1775020020000
C00139,Donald Lovelace,37174.61,SEK,1775335020000
C00083,Margaret Perlman,7356.7,GBP,1775198880000
C00196,Vint Knuth,47373.02,EUR,1775551980000
C00100,Edsger Allen,1903.9,USD,1775231220000
C00176,Tim Turing,37591.0,SEK,1775448060000
C00155,Margaret Hamilton,8845.08,EUR,1775371380000
C00128,Alan Lovelace,15725.87,SEK,1775314380000
C00126,Margaret Cerf,44675.43,SEK,1775308380000
C00204,Grace Cerf,4092.08,GBP,1775567160000
C00043,Frances Allen,47551.23,GBP,1775109480000
C00182,Radia Allen,35333.62,EUR,1775474400000
C00028,Ada Knuth,-265.35,USD,1775053380000
C00205,Frances Dijkstra,6770.74,GBP,1775567460000
C00118,Donald Allen,741.82,USD,1775288460000
C00110,Barbara Hopper,20139.75,SEK,1775268840000
C00020,Grace Liskov,3673.32,USD,1775040540000
C00002,Grace Liskov,20334.12,EUR,1775016780000
C00173,Ada McCarthy,46.64,GBP,1775429580000
C00200,Edsger Lovelace,24558.63,GBP,1775558940000
C00052,Radia Perlman,8631.77,SEK,1775123580000
C00161,Barbara Allen,22967.64,GBP,1775382060000
C00015,Alan Turing,-1618.27,EUR,1775033760000
C00159,Frances Turing,8821.26,SEK,1775380620000
C00214,John Berners-Lee,16300.23,SEK,1775594760000
C00170,John Perlman,7905.23,GBP,1775406180000
C00164,Alan Hamilton,7378.13,SEK,1775394960000
C00021,Donald Knuth,20042.42,EUR,1775042040000
C00193,Radia Knuth,24957.04,USD,1775542800000
C00054,Frances Dijkstra,29069.34,SEK,1775125140000
C00115,Grace Knuth,14989.98,GBP,1775279340000
C00169,Radia Perlman,7146.75,USD,1775402940000
C00098,Ada McCarthy,25037.85,SEK,1775223720000
C00050,John Lovelace,30450.02,EUR,1775121360000
C00178,Tim Lovelace,37665.75,USD,1775448720000
C00040,Vint Hopper,16445.77,EUR,1775108880000
C00140,Ada Perlman,9536.91,SEK,1775336100000
C00180,Grace Dijkstra,22687.43,GBP,1775456820000
C00201,Donald Turing,3040.4,USD,1775564760000
C00153,Grace Hamilton,48013.57,USD,1775370240000
C00197,John Perlman,19196.92,SEK,1775552460000
C00185,Donald Allen,33054.56,USD,1775489760000
C00195,Radia Cerf,10372.8,EUR,1775550660000
C00085,Margaret Knuth,-1759.32,SEK,1775200620000
C00114,Frances Knuth,-1556.12,EUR,1775277300000
C00042,Barbara Knuth,5919.97,USD,1775109480000
C00086,John Cerf,23422.73,SEK,1775202420000
C00077,Barbara Allen,1805.35,EUR,1775181660000
C00016,Alan McCarthy,9241.02,GBP,1775036280000
C00203,Edsger Berners-Lee,46571.65,EUR,1775565480000
C00062,Barbara Lovelace,5588.3,SEK,1775139360000
C00213,Margaret Hopper,24066.53,GBP,1775594640000
C00089,Radia Perlman,17112.48,GBP,1775211360000
C00157,Radia Liskov,5141.78,EUR,1775374620000
C00023,Frances Berners-Lee,22034.84,SEK,1775043660000
C00056,Ada Knuth,18719.29,EUR,1775128200000
C00099,Tim Lovelace,45238.18,EUR,1775226720000
C00072,Donald Cerf,32073.24,EUR,1775165700000
C00132,Edsger Hamilton,48539.25,SEK,1775319000000
C00146,Donald Hopper,13966.02,SEK,1775352060000
C00049,Margaret Hopper,7285.76,USD,1775115840000
C00090,Ada Knuth,37019.29,EUR,1775214780000
C00081,John Cerf,4922.35,SEK,1775189340000
C00065,Ada Knuth,31855.97,SEK,1775144220000
