row_id,name,balance_eur,updated_at
C00000,Donald Perlman,28218.05,1768447380000
C00001,Vint Cerf,36792.68,1768456920000
C00002,Edsger McCarthy,46213.38,1768477200000
C00003,Vint Turing,12149.71,1768478220000
C00004,Alan Lovelace,1996.97,1768507080000
C00005,John Turing,20976.35,1768522440000
C00006,Tim Cerf,16562.17,1768532160000
C00007,Edsger Hopper,28918.02,1768540740000
C00008,Alan Liskov,11427.79,1768555380000
C00009,Frances Berners-Lee,39533.62,1768556640000
C00010,Ada Lovelace,32641.45,1768563300000
C00011,Frances McCarthy,30002.2,1768587360000
C00012,John Lovelace,6463.33,1768600260000
C00013,Donald Liskov,11644.36,1768611300000
C00014,John Cerf,-615.2,1768646040000
C00015,Tim Lovelace,41300.24,1768647600000
C00016,Margaret Dijkstra,21985.71,1768659240000
C00017,Radia Cerf,18823.78,1768692300000
C00018,John Lovelace,45178.11,1768706160000
C00019,Alan Allen,15363.6,1768712400000
C00020,Alan Dijkstra,18942.26,1768713840000
C00021,Alan Knuth,44379.61,1768729020000
C00022,Grace Dijkstra,-271.25,1768747200000
C00023,Edsger Turing,48757.14,1768779480000
C00024,Edsger Hopper,37216.41,1768783560000
C00025,Grace Berners-Lee,24534.65,1768786860000
C00026,Frances Knuth,42424.31,1768789560000
C00027,Grace Turing,48461.05,1768813320000
C00028,John Berners-Lee,45600.95,1768824480000
C00029,John Hopper,14090.18,1768826040000
C00030,Barbara Berners-Lee,1742.06,1768833420000
C00031,Grace Hamilton,43883.84,1768835160000
C00032,Frances Dijkstra,13277.27,1768864080000
C00033,John Hamilton,42837.56,1768877700000
C00034,Vint Hopper,4056.32,1768885200000
C00035,Grace Cerf,46882.91,1768897380000
C00036,Alan Knuth,40429.89,1768913040000
C00037,Tim McCarthy,37608.62,1768914240000
C00038,Grace Liskov,48281.15,1768914480000
C00039,Barbara Berners-Lee,35719.53,1768921740000
C00040,Frances Hamilton,7677.87,1768942500000
C00041,Barbara Turing,5013.46,1768944540000
C00042,Margaret McCarthy,27206.39,1768963800000
C00043,Tim Dijkstra,25088.77,1768975080000
C00044,Radia Cerf,15947.76,1768975500000
C00045,Donald Berners-Lee,27722.26,1768977780000
C00046,Margaret McCarthy,48848.52,1768994820000
C00047,Tim Allen,8268.34,1769008200000
C00048,John Hopper,45369.76,1769049240000
C00049,Margaret Liskov,7959.85,1769098440000
C00050,Radia Liskov,26056.8,1769099340000
C00051,Donald Perlman,9622.91,1769106360000
C00052,Margaret Berners-Lee,37342.36,1769138220000
C00053,Barbara McCarthy,35225.26,1769145360000
C00054,Radia Dijkstra,44237.21,1769148300000
C00055,Margaret Allen,49790.61,1769184000000
C00056,Donald Lovelace,34731.59,1769213760000
C00057,Frances Hopper,24949.13,1769221080000
C00058,Donald Dijkstra,10418.91,1769222580000
C00059,Alan Berners-Lee,49743.63,1769257320000
C00060,Donald Perlman,8095.59,1769260920000
C00061,Frances Allen,18279.78,1769262480000
C00062,John Liskov,23004.57,1769265900000
C00063,Frances Turing,36974.59,1769322060000
C00064,Grace Hopper,38863.25,1769330880000
C00065,Tim Allen,11120.28,1769340360000
C00066,Vint McCarthy,19037.61,1769342520000
C00067,John Hamilton,24942.94,1769367420000
C00068,Edsger McCarthy,16405.66,1769415780000
C00069,Margaret Lovelace,28468.11,1769468400000
C00070,Grace Allen,20479.89,1769474760000
C00071,Frances Perlman,-575.78,1769478600000
C00072,Frances Turing,22721.7,1769513940000
C00073,Alan Hamilton,19620.33,1769537640000
C00074,Ada Knuth,25722.27,1769553660000
C00075,Tim Hamilton,12675.51,1769571180000
C00076,Frances Hopper,35859.08,1769589660000
C00077,John Lovelace,35928.59,1769594340000
C00078,Vint Lovelace,10674.12,1769600460000
C00079,Radia Allen,36301.56,1769612460000
C00080,Alan Hopper,33675.07,1769626200000
C00081,Alan Dijkstra,13564.0,1769626560000
C00082,Barbara Berners-Lee,1030.0,1769630220000
C00083,Barbara McCarthy,37871.27,1769638920000
C00084,Alan Lovelace,16063.98,1769640720000
C00085,Vint McCarthy,1796.72,1769667660000
C00086,Vint Knuth,38606.57,1769695860000
C00087,Donald McCarthy,-531.37,1769703480000
C00088,Barbara Cerf,5254.69,1769707260000
C00089,Tim Perlman,9671.45,1769713680000
C00090,Donald Hamilton,15803.08,1769714820000
C00091,John Liskov,2806.96,1769749260000
C00092,Donald Hamilton,7404.09,1769762520000
C00093,Vint Knuth,44112.37,1769773140000
C00094,Ada Knuth,33489.54,1769787060000
C00095,John Hamilton,9117.57,1769795820000
C00096,Ada Knuth,38140.02,1769799000000
C00097,Alan Knuth,11377.09,1769814120000
C00098,Grace Berners-Lee,33960.36,1769871180000
C00099,Frances Turing,21137.69,1769874660000
C00100,Tim Perlman,21905.58,1769876340000
C00101,Frances Berners-Lee,47717.17,1769894220000
C00102,Donald Hamilton,15567.8,1769909100000
C00103,Radia Liskov,30174.05,1769949540000
C00104,Tim Liskov,13411.13,1769959800000
C00105,Edsger Berners-Lee,11109.48,1769969160000
C00106,John Lovelace,24261.62,1769984580000
C00107,John Perlman,23583.75,1769987640000
C00108,Tim Berners-Lee,20537.45,1769994060000
C00109,Alan Cerf,5958.47,1770006000000
C00110,Margaret McCarthy,30833.64,1770010380000
C00111,Donald McCarthy,31512.55,1770029940000
C00112,Radia Berners-Lee,43376.65,1770036060000
C00113,Grace Allen,36591.89,1770040800000
C00114,Barbara McCarthy,23845.47,1770061020000
C00115,Grace Liskov,22325.8,1770062160000
C00116,John Berners-Lee,-1712.94,1770079020000
C00117,Alan Hopper,27986.1,1770084420000
C00118,Barbara Lovelace,9325.0,1770100020000
C00119,Barbara Cerf,26942.18,1770111360000
C00120,John Hamilton,41514.9,1770117540000
C00121,Grace Hopper,8155.16,1770119280000
C00122,Barbara Cerf,27841.46,1770174120000
C00123,Tim Allen,25197.59,1770246720000
C00124,Tim Hamilton,5253.36,1770252060000
C00125,Vint Liskov,32985.59,1770265980000
C00126,Radia McCarthy,20167.52,1770284220000
C00127,John Dijkstra,24296.36,1770291120000
C00128,John Perlman,17363.53,1770297780000
C00129,Barbara Dijkstra,26207.1,1770301080000
C00130,Donald Hamilton,43086.59,1770303780000
C00131,Barbara Cerf,36635.79,1770328320000
C00132,Margaret Allen,7912.32,1770328560000
C00133,Tim Hamilton,4317.47,1770330600000
C00134,Grace Liskov,31824.89,1770334800000
C00135,Frances Knuth,18605.58,1770343200000
C00136,Tim Berners-Lee,14220.75,1770343740000
C00137,Margaret Allen,5534.28,1770344040000
C00138,Grace Perlman,7687.88,1770348660000
C00139,John Allen,18527.97,1770357420000
C00140,Edsger Turing,45833.26,1770377400000
C00141,Edsger Knuth,39822.97,1770387840000
