account_id,home_lat,home_lon,base_score
A0000,-29.531388,0.051509,0.906021
A0001,-11.646668,113.775201,0.615868
A0002,26.274115,136.787742,0.533512
A0003,-9.764241,-63.191624,0.401804
A0004,-28.764829,-169.01444,0.831623
A0005,27.689062,24.167327,0.795261
A0006,-29.390801,-2.341692,0.9298
A0007,-26.326658,127.560092,0.708096
A0008,35.714243,-121.70758,0.93187
A0009,20.109796,-8.506939,0.902481
A0010,-12.459684,165.566436,0.33212
A0011,-4.186906,155.43194,0.430001
A0012,-34.800496,99.689692,0.885958
A0013,-16.374795,-147.709986,0.594262
A0014,-20.852038,100.281788,0.927095
A0015,1.868177,137.320162,0.50689
A0016,-33.221637,135.906317,0.921918
A0017,-51.113006,117.779023,0.817999
A0018,-9.709937,108.905055,0.554965
A0019,33.65937,-84.446748,0.381408
A0020,-34.209192,154.136934,0.724876
A0021,-34.52897,-121.303108,0.555133
A0022,-53.63358,165.201648,0.588099
A0023,7.027522,57.196283,0.618614
A0024,27.145262,-124.151018,0.690446
A0025,29.266908,-16.630862,0.521212
A0026,22.871459,111.207722,0.45835
A0027,47.512687,-21.404666,0.443385
A0028,9.545875,-73.917815,0.390979
A0029,-44.04577,-55.406351,0.784048
A0030,5.732489,-81.70572,0.711644
A0031,31.14863,-87.26654,0.743216
A0032,-29.507437,107.143856,0.361195
A0033,51.978054,163.526624,0.886899
A0034,47.046734,-142.349468,0.556357
A0035,8.230795,165.616874,0.6838
A0036,9.569908,-123.780543,0.427267
A0037,3.404255,107.752789,0.94229
A0038,-40.112479,44.548252,0.577049
A0039,22.419653,114.911323,0.75424
A0040,-45.969747,-85.479158,0.366054
A0041,-49.723776,-147.37219,0.886993
A0042,6.021222,153.372054,0.756766
A0043,14.144318,-14.685486,0.393558
A0044,53.618438,167.966778,0.440409
A0045,14.53449,-147.030545,0.694775
A0046,-30.899123,144.201416,0.424829
A0047,15.186534,-22.43228,0.561585
A0048,-48.626095,-131.795672,0.430383
A0049,5.912629,149.254408,0.521446
A0050,-4.361965,102.975589,0.658399
A0051,51.31629,107.497242,0.377316
A0052,28.676916,-124.512151,0.939619
A0053,-47.583686,59.265082,0.549795
A0054,26.624097,59.628875,0.323139
A0055,31.188508,119.595284,0.740646
A0056,33.883112,-103.026855,0.583226
A0057,25.603826,13.68494,0.356663
A0058,10.504434,-161.950985,0.522698
A0059,-34.526152,-72.305665,0.800338
