transaction_id,cc_num,datetime,amount,merchant,category,lat,long
T000032823,472200000195,2025-12-08T09:05:00Z,24.76,m_774,clothing,35.2609,-80.8642
T000032826,470100000147,2025-12-08T09:09:00Z,18.04,m_212,fuel,30.3458,-83.7656
T000032827,447000000194,2025-12-08T09:10:00Z,5.65,m_303,travel,35.403,-81.2181
T000032828,475100000009,2025-12-08T09:13:00Z,36.99,m_091,online,32.9752,-78.409
T000032829,405300000080,2025-12-08T09:15:00Z,42.19,m_400,restaurant,47.0891,-87.1887
T000032830,486600000215,2025-12-08T09:15:00Z,8.96,m_011,clothing,32.3002,-102.0556
T000032831,490700000100,2025-12-08T09:20:00Z,23.57,m_165,online,33.8229,-120.8323
T000032832,479800000010,2025-12-08T09:21:00Z,11.59,m_175,travel,36.5564,-118.0256
T000032833,489100000057,2025-12-08T09:24:00Z,8.64,m_617,cash_advance,46.3686,-73.8241
T000032834,498300000053,2025-12-08T09:25:00Z,9.02,m_450,health,34.1786,-119.6112
T000032835,427100000293,2025-12-08T09:29:00Z,30.48,m_552,electronics,30.1736,-113.3807
T000032837,493900000199,2025-12-08T09:31:00Z,21.0,m_628,grocery,41.6934,-90.3424
T000032838,467200000059,2025-12-08T09:32:00Z,20.28,m_543,grocery,42.2985,-81.707
T000032839,475700000260,2025-12-08T09:35:00Z,4.11,m_375,restaurant,26.7605,-99.4927
T000032840,448600000179,2025-12-08T09:35:00Z,14.05,m_030,health,30.6239,-109.0951
T000032841,432200000285,2025-12-08T09:35:00Z,14.95,m_077,grocery,42.2197,-113.6083
T000032842,411100000235,2025-12-08T09:42:00Z,10.9,m_088,electronics,35.8355,-118.9508
T000032843,479800000010,2025-12-08T09:47:00Z,12.12,m_392,restaurant,36.7344,-118.2222
T000032845,478700000011,2025-12-08T09:52:00Z,50.49,m_490,grocery,45.5731,-93.1793
T000032846,436200000283,2025-12-08T09:52:00Z,25.34,m_057,restaurant,30.7344,-117.8546
T000032847,425300000079,2025-12-08T09:53:00Z,18.09,m_147,cash_advance,36.0126,-75.4672
T000032848,418600000223,2025-12-08T09:55:00Z,6.47,m_565,health,48.7734,-78.0047
T000032849,466900000159,2025-12-08T09:57:00Z,8.54,m_430,electronics,43.167,-99.4957
