transaction_id,cc_num,datetime,amount,merchant,category,lat,long,is_fraud
T000000002,446100000021,2025-09-01T00:08:00Z,26.17,m_097,travel,44.9279,-83.455,0
T000000003,493100000068,2025-09-01T00:09:00Z,64.37,m_438,fuel,34.716,-91.2607,0
T000000004,493900000290,2025-09-01T00:26:00Z,125.15,m_635,online,34.8925,-73.5088,0
T000000005,425300000079,2025-09-01T00:45:00Z,22.67,m_578,restaurant,36.8999,-75.4521,0
T000000007,431700000171,2025-09-01T01:05:00Z,21.61,m_034,online,49.2236,-119.5524,0
T000000008,488200000133,2025-09-01T01:09:00Z,11.92,m_749,health,46.8354,-88.6993,0
T000000009,413300000230,2025-09-01T01:19:00Z,29.02,m_716,travel,41.9808,-71.8673,0
T000000010,413300000061,2025-09-01T01:23:00Z,7.54,m_615,cash_advance,34.0282,-80.5466,0
T000000011,436500000043,2025-09-01T01:28:00Z,13.1,m_368,cash_advance,34.8574,-110.5645,0
T000000012,413400000129,2025-09-01T01:37:00Z,15.12,m_748,fuel,44.3046,-76.1185,0
T000000013,498000000026,2025-09-01T01:43:00Z,26.87,m_690,health,26.0615,-90.948,0
T000000014,425300000079,2025-09-01T01:48:00Z,21.57,m_762,travel,36.1049,-76.3645,0
T000000015,474300000084,2025-09-01T01:48:00Z,61.4,m_692,cash_advance,27.0562,-92.4802,0
T000000017,496700000119,2025-09-01T01:56:00Z,102.59,m_117,cash_advance,37.1095,-117.2875,0
T000000019,492900000216,2025-09-01T01:57:00Z,8.39,m_621,health,35.4529,-70.9022,0
T000000020,493800000213,2025-09-01T02:15:00Z,41.16,m_390,restaurant,35.5283,-73.6239,0
T000000022,401300000033,2025-09-01T03:06:00Z,437.57,m_444,electronics,29.2986,-112.7167,1
T000000023,451400000118,2025-09-01T03:38:00Z,9.48,m_184,travel,30.3853,-72.5728,0
T000000024,421000000049,2025-09-01T03:39:00Z,21.2,m_484,entertainment,39.7346,-108.4377,0
T000000025,460200000201,2025-09-01T03:42:00Z,57.78,m_264,electronics,45.0149,-77.7103,0
T000000027,472200000195,2025-09-01T04:03:00Z,59.54,m_185,entertainment,35.1726,-80.2015,0
T000000028,454700000001,2025-09-01T04:14:00Z,11.37,m_774,fuel,28.3276,-117.6114,0
T000000029,440200000212,2025-09-01T04:31:00Z,57.42,m_445,fuel,45.754,-103.1511,0
T000000030,434700000262,2025-09-01T04:43:00Z,7.63,m_140,entertainment,30.1484,-80.3691,0
T000000031,433600000269,2025-09-01T05:02:00Z,5.62,m_757,electronics,48.6508,-88.6521,0
T000000033,413400000129,2025-09-01T05:25:00Z,18.16,m_156,fuel,43.5932,-76.5917,0
T000000036,488800000117,2025-09-01T05:32:00Z,28.25,m_102,restaurant,36.0154,-104.4059,0
T000000037,483600000069,2025-09-01T05:52:00Z,46.08,m_494,electronics,29.3184,-111.6424,0
T000000038,436200000283,2025-09-01T05:58:00Z,22.11,m_306,online,31.4608,-118.6493,0
T000000039,474600000256,2025-09-01T05:59:00Z,19.38,m_358,online,25.6415,-88.5958,0
T000000042,499500000281,2025-09-01T06:49:00Z,13.87,m_214,electronics,47.3109,-75.9452,0
T000000043,429100000136,2025-09-01T07:12:00Z,49.96,m_635,health,48.4281,-79.6372,0
T000000044,405200000054,2025-09-01T07:14:00Z,43.8,m_260,entertainment,31.2774,-87.9845,0
T000000047,491600000072,2025-09-01T07:42:00Z,9.01,m_254,clothing,34.1438,-113.6285,0
T000000048,483100000286,2025-09-01T08:03:00Z,32.84,m_563,grocery,36.7477,-74.2282,0
T000000050,400000000251,2025-09-01T08:16:00Z,10.22,m_525,cash_advance,38.6018,-98.1461,0
T000000051,446100000021,2025-09-01T08:17:00Z,36.79,m_718,grocery,46.2397,-84.3468,0
T000000052,486600000046,2025-09-01T08:20:00Z,26.73,m_023,restaurant,41.7866,-97.1014,0
T000000054,421200000102,2025-09-01T08:25:00Z,32.43,m_786,health,40.7434,-116.2999,0
T000000056,425300000079,2025-09-01T08:31:00Z,63.01,m_688,fuel,35.0438,-76.3452,0
T000000057,494800000019,2025-09-01T08:37:00Z,18.2,m_308,restaurant,24.9579,-101.9586,0
T000000058,426900000172,2025-09-01T08:40:00Z,69.26,m_010,online,42.901,-107.2047,0
T000000059,498200000023,2025-09-01T08:47:00Z,21.4,m_671,grocery,25.0901,-86.0398,0
T000000060,436200000283,2025-09-01T08:56:00Z,41.92,m_755,restaurant,31.4775,-117.6098,0
T000000061,431300000248,2025-09-01T08:57:00Z,34.67,m_014,online,26.9064,-85.9138,0
T000000062,481700000044,2025-09-01T09:00:00Z,7.47,m_138,cash_advance,42.1763,-87.7368,0
T000000064,491000000038,2025-09-01T09:02:00Z,90.65,m_173,online,26.845,-92.6476,0
T000000065,432200000285,2025-09-01T09:05:00Z,18.46,m_114,electronics,42.3116,-113.1809,0
T000000066,467400000299,2025-09-01T09:05:00Z,40.55,m_259,electronics,26.2638,-109.6222,0
T000000068,484400000030,2025-09-01T09:09:00Z,17.43,m_154,electronics,28.9496,-73.8338,0
T000000070,479800000106,2025-09-01T09:12:00Z,32.67,m_658,clothing,27.6643,-72.609,0
T000000071,489200000253,2025-09-01T09:12:00Z,40.81,m_087,cash_advance,37.6181,-88.7978,0
T000000074,411200000218,2025-09-01T09:21:00Z,8.75,m_480,cash_advance,26.2107,-77.8012,0
T000000075,440200000212,2025-09-01T09:22:00Z,75.97,m_648,electronics,45.1001,-103.1708,0
T000000077,468700000127,2025-09-01T09:27:00Z,5.8,m_015,cash_advance,31.9895,-122.9036,0
T000000078,413300000210,2025-09-01T09:28:00Z,64.65,m_656,grocery,32.4182,-100.8824,0
T000000080,462600000282,2025-09-01T09:30:00Z,5.73,m_793,health,46.4036,-88.1535,0
T000000082,405500000165,2025-09-01T09:36:00Z,39.48,m_646,entertainment,42.282,-108.0471,0
T000000083,474000000094,2025-09-01T09:37:00Z,7.85,m_407,fuel,47.8547,-116.0469,0
T000000084,441700000121,2025-09-01T09:37:00Z,25.26,m_309,cash_advance,27.0312,-105.9785,0
