row_id,full_name,balance,currency,updated_at
C00008,Barbara Perlman,21781.35,USD,1775014080000
C00171,Ada Berners-Lee,7242.26,SEK,1775445540000
C00177,Barbara Berners-Lee,2139.32,SEK,1775464800000
C00194,Alan Dijkstra,32342.35,SEK,1775507460000
C00109,Donald Knuth,33388.09,GBP,1775266980000
C00115,Tim Perlman,4296.5,EUR,1775288760000
C00152,Margaret Dijkstra,19565.32,SEK,1775403780000
C00159,Donald Allen,36447.13,EUR,1775420280000
C00063,Edsger Knuth,30837.96,GBP,1775150520000
C00007,Radia Turing,41984.33,GBP,1775013840000
C00131,Tim Liskov,19773.37,USD,1775314980000
C00068,Edsger Allen,24487.72,GBP,1775159820000
C00174,Radia Hamilton,28921.9,EUR,1775456520000
C00216,John Liskov,46342.66,GBP,1775585220000
C00186,Frances Turing,187.81,SEK,1775485200000
C00225,Margaret Perlman,1558.9,GBP,1775599860000
C00141,Grace Cerf,36671.36,EUR,1775337060000
C00170,Edsger Lovelace,26368.78,USD,1775442600000
C00172,Edsger Berners-Lee,-932.69,GBP,1775449860000
C00223,Donald Lovelace,12956.41,GBP,1775595600000
C00106,Barbara Perlman,26386.9,EUR,1775256360000
C00113,Vint Turing,15167.85,SEK,1775281800000
C00019,Grace Perlman,22258.39,SEK,1775047560000
C00136,Donald Cerf,26506.33,GBP,1775331480000
C00116,Margaret Hopper,12564.56,SEK,1775289180000
C00203,Donald Allen,27293.2,EUR,1775532600000
C00178,Margaret Perlman,39819.04,SEK,1775468880000
C00045,Donald Liskov,47858.58,SEK,1775091360000
C00218,Radia Cerf,46030.9,GBP,1775588220000
C00204,Ada Hopper,28872.46,SEK,1775533440000
C00047,Barbara Cerf,25165.76,SEK,1775114340000
C00155,Tim McCarthy,45343.03,EUR,1775414400000
C00071,Donald Dijkstra,11058.49,EUR,1775173620000
C00133,Alan Berners-Lee,-64.39,EUR,1775318340000
C00222,Grace Dijkstra,2122.11,SEK,1775593800000
C00129,Tim Hamilton,26604.43,SEK,1775311560000
C00173,Vint Berners-Lee,21663.7,USD,1775450520000
C00086,Frances Cerf,15106.62,EUR,1775213880000
C00217,Radia Liskov,46222.88,EUR,1775585940000
C00037,Radia Hamilton,6925.53,SEK,1775077620000
C00128,Radia Hamilton,31848.81,GBP,1775310360000
C00151,Ada Perlman,26770.71,USD,1775403480000
C00205,Edsger Hamilton,4950.33,USD,1775536560000
C00135,Margaret Berners-Lee,32570.29,USD,1775330040000
C00145,Radia Turing,41173.58,EUR,1775387700000
C00156,Margaret Liskov,37003.75,USD,1775415600000
C00187,Barbara Lovelace,41533.43,EUR,1775487840000
C00043,Edsger Hopper,37849.0,EUR,1775086320000
