account_id,home_lat,home_lon,base_score
A0000,28.584549,97.119078,0.640437
A0001,33.831639,-87.645724,0.314573
A0002,-54.201086,-16.681225,0.649768
A0003,-23.06964,66.661133,0.622152
A0004,54.893005,-39.423676,0.387146
A0005,-32.740886,22.951065,0.774397
A0006,-30.991149,-80.631806,0.40596
A0007,10.7996,155.91276,0.898525
A0008,21.767058,124.733226,0.302548
A0009,19.209709,-108.9791,0.765372
A0010,56.360844,-143.441971,0.327571
A0011,58.435611,-41.217876,0.727946
A0012,-12.827224,-169.439468,0.864209
A0013,-21.812405,98.484434,0.821262
A0014,28.84264,164.187887,0.822341
A0015,-49.807559,-29.657177,0.609283
A0016,27.328603,143.21523,0.746667
A0017,-33.252772,-24.859692,0.556804
A0018,22.215705,-160.036617,0.377747
A0019,13.807383,-138.110611,0.545076
A0020,12.529551,31.26835,0.907734
A0021,4.258335,78.812726,0.751027
A0022,-57.557196,162.964332,0.379155
A0023,-14.344465,-112.838213,0.727355
A0024,-23.498947,-164.222389,0.859002
A0025,36.88072,46.875441,0.874068
A0026,-23.452319,-37.86794,0.57664
A0027,-7.382444,-37.743835,0.741557
A0028,47.952252,-5.91259,0.697757
A0029,-59.609279,132.754383,0.531352
A0030,50.129782,128.200228,0.543331
A0031,31.656966,-32.130528,0.357664
A0032,-24.481102,111.888866,0.426916
A0033,-5.13848,-3.151594,0.846143
A0034,-0.486763,136.00282,0.325342
A0035,-29.346324,-9.29225,0.418626
A0036,-48.675951,-47.939049,0.862426
A0037,16.789013,29.188274,0.614852
A0038,54.988258,27.449365,0.894259
A0039,0.127368,154.413042,0.579734
A0040,-8.694611,-56.591033,0.387499
A0041,-53.073416,81.652035,0.925177
A0042,24.647884,39.719895,0.681903
A0043,25.490472,85.550609,0.749503
A0044,3.040224,-16.087348,0.466494
A0045,56.311244,-90.320178,0.422275
A0046,41.453269,-126.49099,0.473921
A0047,-35.298572,-129.732959,0.615942
A0048,14.3999,-144.660625,0.883952
A0049,13.058934,-77.917167,0.73919
A0050,-15.272138,141.739132,0.502756
A0051,7.399291,-102.158379,0.744071
A0052,-51.17504,72.446463,0.312292
A0053,45.974973,159.191798,0.701561
A0054,-29.230191,33.562496,0.764882
A0055,42.013149,-121.08444,0.324266
A0056,-34.845537,-24.164243,0.671547
A0057,-53.278237,168.306257,0.516138
A0058,-10.484417,-112.363734,0.562764
A0059,35.38595,-62.746978,0.397598
