row_id,full_name,balance,currency,updated_at
C00186,Alan Cerf,3648.24,EUR,1775499480000
C00085,Vint Dijkstra,11394.43,SEK,1775245080000
C00026,Donald Perlman,43220.73,EUR,1775075400000
C00127,Grace Lovelace,402.6,GBP,1775345640000
C00209,Tim Turing,19694.59,EUR,1775565840000
C00008,Alan Berners-Lee,40534.94,USD,1775044080000
C00146,Barbara Perlman,10159.85,GBP,1775387220000
C00062,Frances Perlman,13747.46,SEK,1775186880000
C00177,Radia Dijkstra,47539.03,EUR,1775484240000
C00191,Donald Cerf,18030.38,GBP,1775512440000
C00082,Alan McCarthy,3477.73,USD,1775235780000
C00207,Alan Allen,37614.37,SEK,1775565180000
C00009,Ada Knuth,31589.43,EUR,1775045520000
C00099,Donald Dijkstra,32808.87,EUR,1775278440000
C00217,Edsger Liskov,3379.52,USD,1775592300000
C00048,John Liskov,33603.57,EUR,1775141220000
C00119,Grace Liskov,-1890.6,SEK,1775324760000
C00132,Tim Hamilton,46916.29,GBP,1775355120000
C00131,John Liskov,32077.11,EUR,1775351040000
C00054,Edsger McCarthy,21573.07,EUR,1775163300000
C00105,Frances Lovelace,41074.24,USD,1775287380000
C00171,Frances Berners-Lee,16552.65,SEK,1775466840000
C00021,Barbara Dijkstra,13417.2,SEK,1775069100000
C00029,Edsger Hopper,12233.31,SEK,1775079600000
C00098,Frances Allen,46.1,SEK,1775275680000
C00126,Ada McCarthy,28975.65,GBP,1775342880000
C00121,Alan Cerf,43092.09,GBP,1775327520000
C00161,Edsger Perlman,6347.96,SEK,1775445120000
C00001,Tim Cerf,10259.28,USD,1775009100000
C00032,Barbara Hopper,8000.84,SEK,1775090400000
C00151,Edsger Turing,43038.6,SEK,1775391000000
C00020,Vint Turing,12677.88,USD,1775068260000
C00118,Alan Cerf,3685.63,GBP,1775322420000
C00060,Edsger Berners-Lee,47988.03,USD,1775183220000
C00164,Edsger Dijkstra,-533.2,EUR,1775448420000
C00136,John Cerf,19256.81,GBP,1775361480000
C00165,Donald Perlman,4408.83,GBP,1775451120000
C00068,Donald Cerf,12709.59,GBP,1775201340000
C00005,Barbara Liskov,4850.0,USD,1775024280000
