transaction_id,cc_num,datetime,amount,merchant,category,lat,long
T000032844,463700000291,2025-12-08T09:47:00Z,20.05,m_508,entertainment,38.0682,-84.6654
T000032845,478700000011,2025-12-08T09:52:00Z,50.49,m_490,grocery,45.5731,-93.1793
T000032847,425300000079,2025-12-08T09:53:00Z,18.09,m_147,cash_advance,36.0126,-75.4672
T000032850,461500000245,2025-12-08T10:01:00Z,26.38,m_495,restaurant,37.9872,-119.8732
T000032851,439700000263,2025-12-08T10:05:00Z,29.35,m_783,travel,46.8853,-93.6596
T000032853,448100000292,2025-12-08T10:10:00Z,49.66,m_177,entertainment,32.6031,-93.791
T000032854,465400000137,2025-12-08T10:12:00Z,21.5,m_524,electronics,37.1173,-117.2242
T000032855,468700000127,2025-12-08T10:13:00Z,21.77,m_053,health,31.7252,-122.955
T000032856,474600000256,2025-12-08T10:16:00Z,14.58,m_486,restaurant,26.4021,-89.46
T000032858,452600000257,2025-12-08T10:22:00Z,55.79,m_090,grocery,28.3945,-105.2731
T000032859,405300000080,2025-12-08T10:27:00Z,21.51,m_340,cash_advance,47.848,-87.7737
T000032860,426800000149,2025-12-08T10:30:00Z,39.01,m_239,travel,30.8238,-118.5045
T000032862,442700000200,2025-12-08T10:32:00Z,17.43,m_238,cash_advance,44.7549,-93.9855
T000032863,475100000009,2025-12-08T10:35:00Z,15.05,m_126,entertainment,32.7382,-78.1966
T000032864,456300000265,2025-12-08T10:38:00Z,28.61,m_600,cash_advance,35.5548,-122.9711
T000032866,464600000139,2025-12-08T10:41:00Z,124.78,m_662,electronics,34.7713,-94.9748
T000032867,413300000210,2025-12-08T10:43:00Z,30.63,m_003,grocery,31.9199,-100.8273
T000032868,432200000285,2025-12-08T10:46:00Z,13.13,m_012,travel,42.3163,-113.3988
T000032870,492500000154,2025-12-08T10:48:00Z,16.82,m_541,clothing,31.0349,-111.7762
T000032871,464600000139,2025-12-08T10:52:00Z,23.79,m_752,cash_advance,40.3775,-84.8772
T000032872,452800000233,2025-12-08T10:57:00Z,10.32,m_253,fuel,35.2956,-73.55
T000032873,479800000010,2025-12-08T10:58:00Z,11.89,m_371,fuel,36.9065,-117.8713
T000032874,423900000113,2025-12-08T11:04:00Z,30.03,m_786,health,31.5757,-90.0019
T000032876,413700000266,2025-12-08T11:11:00Z,21.32,m_539,cash_advance,29.8356,-117.3676
T000032878,429300000186,2025-12-08T11:16:00Z,39.62,m_303,grocery,26.1879,-94.5952
T000032880,423900000113,2025-12-08T11:22:00Z,35.11,m_514,fuel,32.0221,-90.5306
T000032881,412900000224,2025-12-08T11:31:00Z,17.13,m_749,restaurant,29.0356,-120.3622
T000032885,456300000265,2025-12-08T11:41:00Z,66.95,m_591,entertainment,34.5659,-122.9738
T000032886,426900000083,2025-12-08T11:42:00Z,17.98,m_420,electronics,48.0767,-81.6641
T000032887,496500000055,2025-12-08T11:44:00Z,15.53,m_653,health,36.8583,-86.2024
T000032888,471100000081,2025-12-08T11:44:00Z,22.95,m_136,cash_advance,39.5384,-112.9841
T000032889,444800000104,2025-12-08T11:46:00Z,9.15,m_263,fuel,41.8891,-77.9302
T000032890,493800000213,2025-12-08T11:50:00Z,81.43,m_457,grocery,36.0292,-74.4547
T000032891,407400000227,2025-12-08T11:52:00Z,8.65,m_290,restaurant,35.0518,-84.1549
T000032892,443000000144,2025-12-08T11:59:00Z,57.46,m_050,online,29.8693,-78.8521
T000032893,470900000176,2025-12-08T11:59:00Z,11.51,m_545,clothing,46.6443,-81.0165
T000032894,491700000073,2025-12-08T12:01:00Z,7.72,m_316,restaurant,29.0745,-85.077
T000032895,415300000108,2025-12-08T12:02:00Z,21.04,m_554,clothing,42.1914,-111.6639
T000032896,489200000253,2025-12-08T12:08:00Z,34.66,m_039,grocery,37.7591,-89.1914
T000032898,422500000202,2025-12-08T12:10:00Z,14.01,m_520,entertainment,27.9081,-87.7841
T000032899,480500000027,2025-12-08T12:12:00Z,7.62,m_075,clothing,37.1472,-106.7294
T000032900,443900000180,2025-12-08T12:12:00Z,16.55,m_641,health,45.6771,-75.9107
T000032901,460200000201,2025-12-08T12:13:00Z,48.03,m_489,restaurant,44.373,-77.6339
T000032902,497600000197,2025-12-08T12:14:00Z,19.66,m_442,cash_advance,45.2083,-116.9151
T000032903,432700000078,2025-12-08T12:14:00Z,34.79,m_767,online,31.5445,-78.0876
T000032905,400900000156,2025-12-08T12:18:00Z,14.3,m_228,clothing,42.693,-106.6185
T000032906,419200000035,2025-12-08T12:19:00Z,22.48,m_732,grocery,29.5697,-91.4867
T000032907,444800000104,2025-12-08T12:20:00Z,12.03,m_224,cash_advance,41.1398,-76.5754
T000032910,431600000056,2025-12-08T12:28:00Z,55.74,m_665,travel,45.4319,-83.8752
T000032911,406800000116,2025-12-08T12:29:00Z,13.14,m_048,restaurant,44.4892,-85.618
T000032912,468600000099,2025-12-08T12:32:00Z,9.13,m_156,travel,37.8545,-73.4098
T000032913,438100000157,2025-12-08T12:34:00Z,74.89,m_034,grocery,28.0158,-97.5997
T000032915,449400000093,2025-12-08T13:02:00Z,17.35,m_396,clothing,46.7216,-103.7932
T000032916,490700000167,2025-12-08T13:05:00Z,15.13,m_776,restaurant,31.2923,-99.0687
T000032918,447000000194,2025-12-08T13:19:00Z,6.44,m_573,entertainment,34.3469,-81.5934
T000032919,439300000278,2025-12-08T13:26:00Z,40.36,m_771,online,34.7768,-95.6163
T000032920,405300000080,2025-12-08T13:27:00Z,13.34,m_258,online,47.3921,-87.8472
T000032921,473800000088,2025-12-08T13:29:00Z,31.85,m_411,restaurant,48.4867,-99.7262
T000032922,440800000163,2025-12-08T13:29:00Z,10.11,m_004,restaurant,27.4414,-117.3461
T000032923,482900000152,2025-12-08T13:37:00Z,7.6,m_371,online,43.889,-97.4682
T000032924,465400000137,2025-12-08T13:38:00Z,14.37,m_532,health,37.648,-117.112
T000032925,472100000092,2025-12-08T13:43:00Z,6.35,m_665,electronics,41.7863,-80.0988
T000032926,400000000251,2025-12-08T13:43:00Z,23.13,m_510,restaurant,38.1691,-97.6786
T000032927,425300000079,2025-12-08T13:44:00Z,17.11,m_428,online,36.0616,-75.965
T000032929,416000000196,2025-12-08T13:47:00Z,30.97,m_269,online,27.905,-114.1717
