row_id,full_name,balance,currency,updated_at
C00155,Vint Lovelace,860.55,EUR,1775418000000
C00191,Margaret Lovelace,42389.4,EUR,1775506500000
C00124,Donald Lovelace,-1500.2,USD,1775341140000
C00186,Vint Knuth,24012.3,EUR,1775498160000
C00158,Vint Turing,-1618.33,SEK,1775432160000
C00189,Donald Turing,29783.68,GBP,1775503980000
C00074,Frances Lovelace,30586.61,EUR,1775204940000
C00208,Vint Knuth,39008.5,USD,1775540160000
C00081,Ada Berners-Lee,1668.12,EUR,1775231700000
C00220,Donald Dijkstra,107.3,SEK,1775591640000
C00119,Tim Perlman,13139.42,SEK,1775334600000
C00218,Frances Lovelace,15426.38,SEK,1775583480000
C00223,Tim Liskov,20246.15,EUR,1775600220000
C00027,John Knuth,22043.56,USD,1775064600000
C00065,Donald Hamilton,999.55,EUR,1775168280000
C00022,John Allen,41221.45,USD,1775054100000
C00084,Donald Turing,44919.04,GBP,1775240940000
C00056,Margaret Dijkstra,12742.13,USD,1775138160000
C00185,Barbara Hopper,47894.4,USD,1775497980000
C00115,John Liskov,16151.68,GBP,1775315160000
C00206,Grace Hopper,24651.72,SEK,1775532720000
C00066,Ada Berners-Lee,13457.48,EUR,1775184000000
C00116,Radia Cerf,37265.68,USD,1775323140000
C00069,John Turing,28546.27,USD,1775184000000
C00041,Edsger Dijkstra,49927.08,GBP,1775105040000
C00052,Donald Berners-Lee,35443.52,SEK,1775123100000
C00205,Donald Allen,31454.64,SEK,1775532600000
C00032,John Liskov,16811.79,GBP,1775076840000
C00221,Grace Knuth,17648.91,GBP,1775593620000
C00192,John Lovelace,34572.42,EUR,1775508240000
C00197,Frances Berners-Lee,21999.85,USD,1775516460000
C00160,Edsger Hamilton,27849.94,USD,1775439060000
C00146,Radia Turing,13001.39,GBP,1775389740000
C00055,Alan Hamilton,14548.64,SEK,1775137440000
C00086,Edsger Perlman,37891.04,SEK,1775245380000
C00097,Radia Knuth,48777.72,SEK,1775283600000
C00161,Alan Dijkstra,-1074.13,EUR,1775439660000
C00024,Ada Dijkstra,36105.8,GBP,1775059380000
C00110,Vint Knuth,21357.9,EUR,1775310180000
C00113,Donald Dijkstra,37470.78,USD,1775312400000
C00003,Vint Liskov,33199.65,USD,1775008680000
C00117,Alan Berners-Lee,15604.82,USD,1775326920000
C00010,Barbara Lovelace,49074.38,GBP,1775033100000
C00176,Alan Hamilton,32678.04,EUR,1775459280000
C00020,Margaret Knuth,19907.82,SEK,1775051880000
C00026,Margaret Hamilton,9356.6,EUR,1775064300000
C00076,Tim Lovelace,8215.99,EUR,1775208720000
C00188,Barbara Cerf,12551.24,USD,1775502600000
C00090,John Allen,7104.37,USD,1775269740000
C00038,Donald Cerf,34146.06,GBP,1775095380000
C00137,Frances Liskov,23407.84,SEK,1775367720000
C00172,Frances Turing,21812.65,GBP,1775454780000
C00047,Grace Hamilton,16687.58,GBP,1775120100000
C00201,Barbara Turing,23437.3,GBP,1775525520000
C00008,Edsger McCarthy,43274.2,GBP,1775027280000
C00049,Alan Berners-Lee,11684.13,GBP,1775122020000
C00083,Barbara Cerf,38128.98,USD,1775237280000
C00039,Barbara Dijkstra,38959.34,SEK,1775097840000
C00126,Grace Perlman,47116.57,EUR,1775345340000
C00141,Radia Liskov,49216.56,USD,1775382660000
C00140,Donald Hopper,21888.31,EUR,1775376960000
C00016,Tim Knuth,-1344.58,EUR,1775045820000
C00050,Tim Dijkstra,1359.8,SEK,1775122860000
C00077,Donald Cerf,8900.93,USD,1775215320000
C00150,Radia Perlman,39901.9,GBP,1775393880000
C00044,Margaret Knuth,44476.55,EUR,1775112480000
C00203,Radia Liskov,16763.98,GBP,1775527380000
C00019,Frances Hopper,30008.52,SEK,1775051700000
C00138,Edsger Hamilton,17917.5,USD,1775369940000
C00007,Edsger Knuth,192.84,GBP,1775018520000
C00079,Grace Liskov,46287.78,EUR,1775222040000
C00014,Grace Hopper,29580.18,EUR,1775044500000
C00118,Frances Perlman,41238.23,USD,1775327100000
C00196,Ada Cerf,40687.98,USD,1775515860000
C00199,Donald Hamilton,31942.91,SEK,1775519520000
C00152,Edsger Cerf,35043.79,EUR,1775408640000
C00171,Edsger McCarthy,2608.82,GBP,1775453700000
C00087,Barbara McCarthy,23154.33,GBP,1775251380000
C00078,Edsger Berners-Lee,6253.26,GBP,1775218320000
C00121,Tim McCarthy,1944.66,USD,1775335020000
C00109,Vint Berners-Lee,17194.87,USD,1775308620000
C00144,Grace Perlman,10934.88,USD,1775386380000
C00131,Tim McCarthy,9085.13,GBP,1775355480000
C00111,Alan Hopper,16970.84,GBP,1775312220000
C00042,Radia Hamilton,17331.79,SEK,1775111460000
C00222,Ada Perlman,44216.69,USD,1775595420000
C00082,Grace Allen,19674.78,SEK,1775234160000
C00151,Ada Hamilton,27485.56,GBP,1775399160000
C00174,Donald Perlman,-1890.32,EUR,1775455440000
C00091,Frances Allen,46496.3,EUR,1775272920000
C00028,John Turing,29424.77,USD,1775066760000
C00204,Tim Berners-Lee,19568.6,EUR,1775530980000
C00183,Ada Lovelace,19687.51,EUR,1775490480000
C00177,Donald Perlman,37225.67,SEK,1775463900000
C00095,Tim Dijkstra,39972.88,EUR,1775283120000
C00209,John Hamilton,47302.76,SEK,1775551080000
C00070,Edsger Hamilton,18722.84,GBP,1775189460000
C00181,Alan Liskov,17992.35,GBP,1775489820000
C00129,Donald Berners-Lee,46204.93,GBP,1775351040000
C00094,Edsger Dijkstra,16459.76,SEK,1775278260000
C00200,Frances Knuth,3928.91,USD,1775522880000
C00215,Ada Berners-Lee,46918.32,EUR,1775569980000
C00219,Frances Allen,22319.41,SEK,1775587620000
C00080,Radia Perlman,43952.04,EUR,1775229780000
C00012,John Cerf,6672.55,GBP,1775041260000
C00214,Alan Dijkstra,36198.6,USD,1775566620000
C00034,Ada Perlman,14057.61,USD,1775077020000
C00139,Alan Hamilton,29622.26,SEK,1775374020000
C00162,Grace Berners-Lee,39346.24,USD,1775442720000
C00064,Grace McCarthy,9830.09,SEK,1775160120000
C00130,Vint Berners-Lee,34874.73,GBP,1775353020000
C00211,Donald Allen,16603.55,EUR,1775562660000
C00224,Donald Hopper,-698.24,SEK,1775600880000
C00148,Frances Hopper,3505.11,EUR,1775390460000
C00193,Grace Cerf,5957.46,GBP,1775509200000
C00002,Barbara Perlman,-861.62,EUR,1775003820000
C00108,Radia Lovelace,37809.27,EUR,1775308620000
C00040,Radia Hamilton,32563.43,USD,1775104440000
C00036,Frances Allen,32752.87,GBP,1775085720000
C00031,Grace Allen,5888.49,EUR,1775076360000
C00104,Frances Allen,23569.99,GBP,1775298900000
C00018,Barbara Dijkstra,-471.17,EUR,1775047560000
C00132,Barbara Cerf,23956.28,GBP,1775357580000
C00136,Edsger Hopper,12017.81,SEK,1775366580000
C00063,Grace McCarthy,34206.79,GBP,1775149920000
C00060,Grace Cerf,28047.23,GBP,1775142840000
C00085,Radia Lovelace,9966.05,EUR,1775243760000
C00217,John McCarthy,4409.03,EUR,1775580960000
C00149,Ada Cerf,48842.46,SEK,1775393640000
C00156,Frances Knuth,9540.31,EUR,1775422860000
C00005,Radia Turing,10103.43,EUR,1775010900000
C00106,Ada Hopper,23600.81,EUR,1775305380000
C00212,Tim Allen,22048.64,SEK,1775564160000
C00190,Margaret Turing,8720.3,EUR,1775504160000
C00127,Frances Allen,45673.42,SEK,1775348640000
C00123,Donald Berners-Lee,4942.07,SEK,1775339160000
C00093,Barbara Perlman,12817.53,EUR,1775273400000
C00072,Alan Hamilton,26646.39,EUR,1775200140000
C00210,Radia Lovelace,-583.28,USD,1775556060000
C00128,Tim Hopper,40689.42,SEK,1775349900000
C00015,Tim Hopper,21317.5,GBP,1775045400000
C00216,Frances Berners-Lee,23979.64,EUR,1775579520000
C00011,Radia Berners-Lee,41905.14,GBP,1775038500000
C00180,Donald Perlman,47312.21,SEK,1775489160000
C00120,Edsger Cerf,15509.22,GBP,1775334840000
C00098,John Hamilton,6622.61,GBP,1775287560000
C00195,Vint McCarthy,21806.7,SEK,1775515380000
C00169,John Liskov,21302.92,GBP,1775452740000
C00165,Edsger Allen,26666.33,EUR,1775448300000
C00058,Ada Hamilton,23931.47,EUR,1775138760000
C00187,Alan Liskov,9871.9,SEK,1775500740000
C00184,Radia Turing,32009.32,SEK,1775496060000
C00157,Barbara Hamilton,24676.26,GBP,1775425620000
C00167,Grace Hopper,36091.05,EUR,1775448720000
C00048,Radia Hopper,17970.54,SEK,1775121540000
C00099,Tim Hamilton,4763.87,EUR,1775292120000
C00061,Alan Perlman,35875.28,USD,1775144640000
C00089,John Lovelace,44453.75,SEK,1775260560000
C00013,Barbara Perlman,45018.85,EUR,1775044200000
C00000,Donald Turing,28537.58,SEK,1775002860000
C00213,Barbara Allen,16297.14,SEK,1775565600000
C00062,John Allen,30160.69,GBP,1775144880000
C00046,Margaret Hamilton,20987.62,GBP,1775118240000
C00198,John Perlman,22291.06,GBP,1775516700000
C00179,Frances Liskov,3679.25,SEK,1775471700000
C00207,Tim Lovelace,20672.58,GBP,1775532900000
C00135,Vint Berners-Lee,40508.64,SEK,1775365140000
C00134,Grace Knuth,-42.93,USD,1775359140000
C00035,Radia Lovelace,6018.08,EUR,1775083140000
C00225,Vint Dijkstra,44312.01,GBP,1775603160000
C00168,Frances Berners-Lee,45800.11,EUR,1775451840000
C00053,Ada Dijkstra,44357.53,EUR,1775128800000
C00226,Radia Turing,46493.65,GBP,1775603760000
C00122,Margaret Liskov,25300.65,EUR,1775337480000
C00001,Ada Perlman,15171.06,EUR,1775003820000
C00182,Alan Allen,12965.89,EUR,1775489820000
C00178,Edsger Liskov,44062.84,GBP,1775464380000
C00133,Ada Perlman,48069.23,EUR,1775359080000
C00142,Frances Turing,12792.94,EUR,1775386200000
C00101,Edsger McCarthy,14779.54,USD,1775292480000
C00037,Radia Liskov,8427.12,USD,1775091780000
C00175,Radia Hamilton,34169.86,GBP,1775455440000
C00006,Vint Cerf,22358.69,USD,1775013300000
C00073,Margaret Turing,17588.88,EUR,1775201040000
C00125,John Liskov,10140.54,USD,1775343840000
C00114,Donald Lovelace,3425.19,SEK,1775313600000
C00102,Radia Cerf,1942.01,SEK,1775292780000
C00107,Donald Lovelace,41348.38,SEK,1775305980000
C00202,Frances Liskov,44732.01,USD,1775526720000
C00164,John Cerf,6511.22,EUR,1775443440000
C00194,Alan Liskov,48665.46,USD,1775510520000
