row_id,name,balance_eur,updated_at
C00000,Edsger Hopper,37134.59,1768449720000
C00001,Frances Dijkstra,17439.12,1768457820000
C00002,Vint Perlman,8267.13,1768506720000
C00003,Alan Hopper,33126.86,1768508640000
C00004,Alan McCarthy,6440.75,1768533840000
C00005,Margaret Liskov,49580.5,1768536060000
C00006,John Hopper,10026.02,1768551960000
C00007,Barbara Dijkstra,28752.92,1768556700000
C00008,John Cerf,15357.18,1768556760000
C00009,Tim Lovelace,31182.5,1768557360000
C00010,Tim McCarthy,1939.67,1768575660000
C00011,John Lovelace,27339.52,1768584180000
C00012,Ada Allen,9847.53,1768599660000
C00013,Grace Perlman,1716.56,1768608540000
C00014,Radia Knuth,48053.09,1768611960000
C00015,Alan Dijkstra,235.67,1768625820000
C00016,Alan Liskov,48261.73,1768639140000
C00017,Margaret Lovelace,34631.26,1768649280000
C00018,Vint Dijkstra,17940.92,1768650900000
C00019,Frances McCarthy,15184.62,1768661940000
C00020,Margaret Dijkstra,49928.9,1768663500000
C00021,Tim Cerf,36035.68,1768663560000
C00022,Edsger Liskov,29866.91,1768673160000
C00023,Margaret Liskov,47176.21,1768703160000
C00024,Barbara Hopper,28389.29,1768704780000
C00025,Edsger Berners-Lee,25559.7,1768731960000
C00026,Frances Perlman,29832.06,1768735200000
C00027,Frances Hopper,46934.83,1768737540000
C00028,John Liskov,46905.22,1768761180000
C00029,Barbara Perlman,29119.07,1768785480000
C00030,Grace Perlman,11384.93,1768797000000
C00031,Margaret Knuth,24544.79,1768811700000
C00032,Ada Knuth,279.08,1768820820000
C00033,Alan Hopper,38389.13,1768829640000
C00034,Margaret Lovelace,6568.23,1768831260000
C00035,Edsger Turing,36103.09,1768842360000
C00036,Frances Dijkstra,25294.48,1768862160000
C00037,Frances Hopper,43860.8,1768871100000
C00038,Radia Berners-Lee,28135.8,1768875180000
C00039,Ada Liskov,12097.2,1768925640000
C00040,Grace Dijkstra,40535.53,1768930020000
C00041,Tim Cerf,49826.71,1768939080000
C00042,Frances McCarthy,27512.02,1768942080000
C00043,Alan Cerf,11400.52,1768950120000
C00044,Donald Liskov,1094.51,1768956660000
C00045,John Turing,49665.49,1768958460000
C00046,John Allen,15947.6,1768976580000
C00047,Grace Hamilton,7959.23,1768978620000
C00048,Alan Hopper,26006.06,1768989720000
C00049,Margaret Allen,19882.12,1769004180000
C00050,Grace Liskov,23419.33,1769009460000
C00051,Tim Berners-Lee,38553.61,1769042040000
C00052,Alan Liskov,13443.03,1769053800000
C00053,Margaret Berners-Lee,38208.49,1769058000000
C00054,Grace Allen,-1191.95,1769061240000
C00055,Alan McCarthy,14596.64,1769101680000
C00056,Vint Liskov,24545.28,1769104320000
C00057,Tim Allen,38924.59,1769113680000
C00058,Barbara Hamilton,39478.87,1769132160000
C00059,Barbara Liskov,10251.46,1769172300000
C00060,Grace Perlman,40046.21,1769212380000
C00061,Edsger Turing,31641.62,1769222040000
C00062,Margaret Allen,15896.59,1769231700000
C00063,Vint Lovelace,4029.98,1769234580000
C00064,John Dijkstra,32121.62,1769252520000
C00065,Tim Cerf,6225.56,1769277360000
C00066,Tim Liskov,20183.38,1769278380000
C00067,Donald Berners-Lee,46807.65,1769314380000
C00068,Frances Hamilton,37296.71,1769339280000
C00069,Tim Dijkstra,15346.38,1769346180000
C00070,Alan Turing,3882.12,1769353920000
C00071,Alan Liskov,9371.37,1769366040000
C00072,Edsger Perlman,39969.82,1769390220000
C00073,Radia Turing,38988.5,1769407620000
C00074,Donald Liskov,14688.33,1769422260000
C00075,Grace Perlman,31263.32,1769422980000
C00076,Grace Knuth,46944.49,1769438700000
C00077,Donald Hamilton,5985.91,1769503680000
C00078,Radia Cerf,28865.96,1769511240000
C00079,Grace Turing,29208.37,1769547840000
C00080,Radia Berners-Lee,34062.0,1769555520000
C00081,John Hamilton,43824.84,1769612400000
C00082,Barbara Liskov,23729.38,1769640720000
C00083,Edsger Hamilton,44184.35,1769640780000
C00084,Ada Hopper,13470.32,1769670360000
C00085,Alan Turing,1226.59,1769680980000
C00086,Ada Dijkstra,1897.64,1769731200000
C00087,Tim Dijkstra,19284.88,1769735640000
C00088,Alan McCarthy,26079.63,1769744760000
C00089,Margaret Perlman,31496.54,1769763420000
C00090,Grace Hopper,38111.42,1769765280000
C00091,Radia Knuth,86.63,1769778360000
C00092,John Perlman,34286.52,1769787240000
C00093,Margaret Cerf,6411.66,1769790900000
C00094,Ada Hamilton,6337.0,1769796960000
C00095,Donald Berners-Lee,10965.66,1769802360000
C00096,Radia Hamilton,27314.16,1769818020000
C00097,Donald Dijkstra,39890.3,1769834160000
C00098,Radia Dijkstra,10406.6,1769835420000
C00099,Vint Berners-Lee,15972.31,1769853360000
C00100,Tim Berners-Lee,32719.81,1769863560000
C00101,Grace Perlman,21581.02,1769868180000
C00102,Barbara Allen,14467.11,1769902740000
C00103,Barbara Allen,36092.47,1769922960000
C00104,Ada Hopper,35516.82,1769926140000
C00105,Grace Dijkstra,33283.8,1769930820000
C00106,Tim Berners-Lee,26677.91,1769933520000
C00107,Margaret Berners-Lee,6209.52,1769951880000
C00108,Frances Lovelace,38414.9,1769973840000
C00109,Barbara McCarthy,37342.69,1770015240000
C00110,Frances Knuth,14194.07,1770042720000
C00111,Barbara Hamilton,12319.8,1770082140000
C00112,Radia Allen,870.62,1770086880000
C00113,John Hamilton,1749.48,1770094500000
C00114,Frances Perlman,9323.74,1770129720000
C00115,John Turing,34706.81,1770133320000
C00116,Frances Lovelace,35928.23,1770140460000
C00117,Radia Knuth,-567.08,1770182400000
C00118,Frances McCarthy,28058.77,1770204780000
C00119,Barbara Cerf,37087.32,1770221340000
C00120,Margaret Lovelace,8854.33,1770228720000
C00121,Vint Cerf,39508.6,1770239280000
C00122,Tim Liskov,39717.33,1770253680000
C00123,Tim Knuth,11439.47,1770267960000
C00124,Barbara Hamilton,31634.48,1770304740000
C00125,Margaret Turing,-1485.4,1770311640000
C00126,Frances Hamilton,5954.46,1770316920000
C00127,Radia Knuth,38456.97,1770324060000
C00128,Frances Knuth,8900.79,1770326220000
C00129,Ada Allen,28402.51,1770328560000
C00130,Vint McCarthy,40689.01,1770350580000
C00131,Barbara Dijkstra,24390.99,1770358620000
C00132,Frances McCarthy,12459.54,1770380580000
C00133,Alan Berners-Lee,43437.75,1770398280000
C00134,Barbara Allen,9319.27,1770405660000
C00135,Tim Hopper,37671.88,1770415620000
C00136,Tim McCarthy,-417.7,1770424800000
C00137,Ada Knuth,10736.23,1770441660000
C00138,Edsger Turing,35937.93,1770441960000
C00139,Edsger Hopper,15845.75,1770464580000
C00140,Vint Knuth,31950.58,1770500880000
C00141,Grace Perlman,8633.77,1770522360000
C00142,Vint Dijkstra,17352.03,1770531360000
C00143,John Allen,15964.5,1770561480000
C00144,John Knuth,28073.99,1770571440000
C00145,Edsger Hopper,2505.76,1770576660000
C00146,Donald Knuth,27628.32,1770601320000
C00147,Donald Liskov,23653.96,1770601860000
C00148,Margaret Hamilton,38651.73,1770604320000
C00149,Margaret Lovelace,19468.01,1770609060000
C00150,Ada Perlman,30114.32,1770610860000
C00151,John Hopper,26622.89,1770622440000
C00152,John Liskov,6983.45,1770653760000
C00153,Ada Perlman,2613.3,1770676800000
C00154,Edsger Berners-Lee,24300.01,1770714060000
C00155,Barbara Dijkstra,29754.43,1770714960000
C00156,Tim Allen,47638.0,1770785880000
C00157,Barbara Cerf,25073.77,1770800460000
C00158,Vint McCarthy,34787.97,1770806820000
C00159,John Cerf,47470.84,1770808560000
C00160,Barbara Allen,21452.19,1770839580000
C00161,Grace Hopper,14410.07,1770843240000
C00162,Vint McCarthy,23931.43,1770845700000
C00163,Ada Liskov,24593.68,1770848400000
C00164,Vint Lovelace,42632.39,1770854940000
C00165,Tim Allen,33941.9,1770858900000
C00166,Margaret Berners-Lee,38406.88,1770866160000
C00167,Alan Knuth,22496.48,1770866640000
C00168,John Berners-Lee,6484.07,1770896940000
C00169,Tim Liskov,43948.96,1770898800000
C00170,Alan Liskov,42918.42,1770916740000
C00171,Margaret McCarthy,31183.49,1770948960000
C00172,Grace Turing,27372.66,1770960480000
C00173,Ada Dijkstra,19477.96,1770970380000
C00174,Grace Perlman,29993.25,1770977220000
C00175,Radia Hopper,19357.11,1770985080000
C00176,Donald Hamilton,40590.4,1770985200000
C00177,Alan Hopper,43707.75,1770987240000
C00178,Alan Cerf,21935.94,1770996540000
C00179,John Hamilton,30181.9,1771010820000
