row_id,name,balance_eur,updated_at
C00000,Grace Berners-Lee,33870.45,1768442820000
C00001,John Berners-Lee,28039.39,1768448640000
C00002,Edsger Berners-Lee,38342.92,1768464660000
C00003,Edsger Hamilton,42388.88,1768487160000
C00004,Barbara McCarthy,46655.2,1768495740000
C00005,Margaret McCarthy,32179.2,1768524120000
C00006,Barbara Hopper,44488.48,1768524480000
C00007,Ada Turing,20987.18,1768529580000
C00008,Grace Lovelace,39247.36,1768529700000
C00009,Tim Hamilton,6125.71,1768535340000
C00010,Radia Knuth,33949.24,1768549860000
C00011,Donald Hopper,31285.74,1768550220000
C00012,Donald McCarthy,23295.94,1768556700000
C00013,John Hopper,28636.37,1768561200000
C00014,Donald Hopper,31703.95,1768583700000
C00015,Edsger Berners-Lee,1913.73,1768611000000
C00016,Barbara Berners-Lee,25847.28,1768620300000
C00017,Radia Cerf,28098.68,1768621140000
C00018,Donald Dijkstra,24224.34,1768623840000
C00019,Alan Cerf,24542.89,1768633200000
C00020,Barbara McCarthy,12930.89,1768633440000
C00021,Donald Lovelace,-563.04,1768643460000
C00022,John Lovelace,10176.0,1768647000000
C00023,Barbara Liskov,46303.55,1768650180000
C00024,Margaret McCarthy,47163.55,1768671960000
C00025,Frances McCarthy,23756.06,1768683780000
C00026,Barbara Cerf,13336.05,1768710840000
C00027,Radia Allen,14396.32,1768723860000
C00028,Alan McCarthy,27929.26,1768724460000
C00029,Donald Knuth,36123.42,1768728660000
C00030,Tim Lovelace,16078.49,1768735140000
C00031,Radia Liskov,34418.28,1768738260000
C00032,Alan Liskov,36718.01,1768751700000
C00033,Radia Dijkstra,36497.07,1768792020000
C00034,Frances Lovelace,144.81,1768815840000
C00035,Ada Hopper,-1655.34,1768828800000
C00036,Vint Hamilton,23749.95,1768841160000
C00037,Edsger Hopper,8773.28,1768844580000
C00038,Barbara Knuth,39316.47,1768870860000
C00039,Radia Turing,17018.38,1768906020000
C00040,Barbara Berners-Lee,14393.78,1768923420000
C00041,Ada Knuth,20031.29,1768950960000
C00042,Radia Turing,-103.19,1768971060000
C00043,Vint Hamilton,32877.82,1768978620000
C00044,Margaret Hamilton,23700.66,1769000460000
C00045,Radia Lovelace,12896.55,1769004300000
C00046,Tim Hopper,936.22,1769015160000
C00047,Edsger Perlman,11699.88,1769015640000
C00048,Alan Knuth,5092.63,1769016120000
C00049,Vint Knuth,11993.73,1769022540000
C00050,John McCarthy,12726.92,1769030340000
C00051,Barbara Berners-Lee,243.56,1769038080000
C00052,Radia Liskov,39262.79,1769052240000
C00053,Alan Knuth,24856.76,1769075100000
C00054,John Hamilton,3558.18,1769093580000
C00055,Radia Perlman,24995.66,1769108220000
C00056,Ada Hamilton,11707.65,1769164620000
C00057,Radia Hopper,29207.43,1769171700000
C00058,Edsger Turing,47826.54,1769182500000
C00059,Donald Berners-Lee,2622.35,1769220240000
C00060,John Cerf,26054.38,1769225820000
C00061,Ada Hamilton,3287.93,1769228340000
C00062,Ada Liskov,16977.74,1769228880000
C00063,Grace Liskov,39963.27,1769241900000
C00064,Vint Allen,30624.1,1769257620000
C00065,Vint Liskov,23853.86,1769262480000
C00066,Edsger Turing,6935.91,1769300880000
C00067,Frances Berners-Lee,26392.75,1769332620000
C00068,Tim Hopper,16701.19,1769332980000
C00069,John Berners-Lee,38.2,1769335560000
C00070,Tim Hopper,9976.38,1769374080000
C00071,Alan Hamilton,-1618.49,1769384940000
C00072,Alan Turing,923.78,1769390220000
C00073,Tim Perlman,4305.01,1769402040000
C00074,Donald Berners-Lee,19317.34,1769416020000
C00075,John Perlman,18898.87,1769424780000
C00076,Grace Lovelace,8362.13,1769426400000
C00077,Donald Cerf,720.71,1769438580000
C00078,Barbara Perlman,37654.6,1769475120000
C00079,Frances McCarthy,4541.8,1769475780000
C00080,Donald Cerf,48015.09,1769503740000
C00081,Margaret Dijkstra,43304.4,1769521680000
C00082,Edsger Liskov,17246.5,1769529600000
C00083,Edsger Hopper,-1965.27,1769536800000
C00084,Radia Liskov,39062.2,1769541300000
C00085,Edsger Hopper,495.62,1769548860000
C00086,Edsger Liskov,14304.33,1769549580000
C00087,John Berners-Lee,14817.94,1769552520000
C00088,Tim Hamilton,2722.4,1769560860000
C00089,Ada Cerf,35851.74,1769565060000
C00090,Frances Turing,-33.48,1769586600000
C00091,Frances Hamilton,16673.0,1769591820000
C00092,Edsger Lovelace,7289.21,1769607060000
C00093,Tim Knuth,40729.39,1769612520000
C00094,Frances Liskov,47596.37,1769639520000
C00095,John McCarthy,19675.19,1769649540000
C00096,Tim Cerf,656.57,1769666820000
C00097,Margaret Perlman,10376.77,1769668140000
C00098,Donald Knuth,5689.7,1769677740000
C00099,Radia Dijkstra,30039.57,1769713560000
C00100,Frances Turing,27112.78,1769715780000
C00101,Frances Hamilton,7325.56,1769730420000
C00102,Margaret Hopper,22955.07,1769740680000
C00103,Frances Hamilton,1737.62,1769754480000
C00104,Grace Berners-Lee,18209.58,1769760840000
C00105,Donald Hopper,13221.36,1769781480000
C00106,Grace Turing,38385.37,1769796180000
C00107,Ada Knuth,23337.25,1769808300000
C00108,Margaret McCarthy,17713.65,1769812860000
C00109,Frances Knuth,-1030.54,1769835180000
C00110,Ada Lovelace,4853.61,1769849940000
C00111,Margaret McCarthy,14001.61,1769881080000
C00112,Donald Perlman,19024.37,1769885400000
C00113,Ada Dijkstra,25683.01,1769899860000
C00114,Tim Hamilton,2509.6,1769908740000
C00115,Tim Knuth,38410.63,1769909580000
C00116,Donald Liskov,-694.51,1769912100000
C00117,Edsger Turing,23926.23,1769923380000
C00118,Grace Dijkstra,22558.41,1769925540000
C00119,Vint Perlman,46187.7,1769983680000
C00120,Ada Knuth,33528.07,1770014760000
C00121,Vint Hopper,6579.18,1770028680000
C00122,Radia Allen,11786.22,1770048180000
C00123,Alan Knuth,38660.79,1770061260000
C00124,Donald Liskov,21257.89,1770069720000
C00125,Ada Knuth,47495.42,1770077160000
C00126,Tim Allen,49495.75,1770094680000
C00127,Barbara Knuth,34533.21,1770118140000
C00128,John Lovelace,21540.47,1770129240000
C00129,Grace Hamilton,21082.08,1770136620000
C00130,Radia Allen,44086.89,1770137880000
C00131,Donald McCarthy,43014.81,1770175920000
C00132,Frances McCarthy,37422.48,1770177540000
C00133,Barbara Cerf,22162.17,1770200280000
C00134,Ada Liskov,35561.27,1770201480000
C00135,Edsger Perlman,39412.76,1770228660000
C00136,Radia Turing,19040.34,1770240720000
C00137,Edsger Hopper,17218.16,1770247380000
