row_id,full_name,balance,currency,updated_at
C00182,Tim Allen,43211.5,EUR,1775503140000
C00197,Frances Dijkstra,6058.57,USD,1775559420000
C00057,Barbara Perlman,368.0,SEK,1775163600000
C00125,Ada Hamilton,48163.77,EUR,1775359500000
C00069,Radia Hamilton,31239.01,USD,1775197260000
C00131,Margaret Hopper,1941.54,USD,1775367000000
C00114,Donald Hamilton,45468.74,SEK,1775313180000
C00049,Grace Knuth,30546.61,GBP,1775153520000
C00177,Grace McCarthy,30580.55,EUR,1775492700000
C00183,John Berners-Lee,15284.6,EUR,1775508300000
C00210,Frances Liskov,5538.23,USD,1775598480000
C00174,Margaret Hamilton,9593.58,USD,1775473980000
C00085,Ada Berners-Lee,48188.18,USD,1775249640000
C00059,Barbara Allen,38459.35,EUR,1775166780000
C00128,Grace Hamilton,576.2,EUR,1775360580000
C00010,Margaret Cerf,35452.57,EUR,1775037420000
C00046,Edsger Perlman,44450.87,GBP,1775145000000
C00117,Margaret Turing,20281.92,GBP,1775318280000
C00172,Margaret Liskov,10602.43,USD,1775471340000
C00110,Edsger Hamilton,21959.23,SEK,1775303640000
C00158,Edsger Turing,12261.3,GBP,1775447820000
C00055,Edsger Turing,34515.09,EUR,1775161080000
C00093,Frances Hopper,13613.78,EUR,1775265960000
C00175,Ada McCarthy,11019.25,SEK,1775483100000
C00009,Ada Allen,38471.42,SEK,1775031300000
C00203,Tim Lovelace,39932.84,GBP,1775573760000
C00075,Tim Cerf,20404.11,SEK,1775213520000
C00119,Tim Berners-Lee,5027.06,SEK,1775328960000
C00071,Radia Perlman,43589.73,GBP,1775200140000
C00139,Frances Turing,16981.28,GBP,1775395080000
C00200,John Lovelace,12266.26,SEK,1775566980000
C00132,Donald Liskov,45510.16,GBP,1775369760000
C00143,Radia Lovelace,27088.02,USD,1775399340000
C00188,John Perlman,142.12,GBP,1775528460000
C00061,Edsger Hopper,28385.3,EUR,1775172540000
C00096,Frances Lovelace,27262.69,SEK,1775278620000
C00068,Donald Liskov,4830.79,SEK,1775194680000
C00041,Tim Cerf,940.68,EUR,1775137560000
C00124,Alan Hopper,49252.41,USD,1775350920000
C00211,Vint Knuth,10054.0,GBP,1775599620000
C00023,Donald Dijkstra,30606.56,SEK,1775061960000
C00030,John Hopper,32216.77,GBP,1775090760000
C00122,Alan Turing,19689.46,SEK,1775343300000
C00113,Edsger Dijkstra,26343.62,USD,1775303880000
C00070,Donald Lovelace,7835.55,GBP,1775198700000
C00206,John Knuth,4716.21,EUR,1775583360000
C00077,Margaret Hopper,38281.93,GBP,1775232840000
C00067,Frances Hamilton,10808.95,SEK,1775193660000
C00025,Edsger McCarthy,20391.76,EUR,1775073000000
C00101,Barbara Liskov,47696.56,EUR,1775286000000
C00024,Radia Dijkstra,25451.51,GBP,1775064660000
C00157,Donald Perlman,7447.47,GBP,1775445300000
C00190,Margaret Liskov,30895.17,EUR,1775530440000
C00040,Edsger Knuth,40984.22,USD,1775132820000
