row_id,name,balance_eur,updated_at
C00000,Tim Dijkstra,8445.37,1768452000000
C00001,Barbara Dijkstra,18637.15,1768452540000
C00002,Vint Hamilton,38032.54,1768478280000
C00003,Margaret Hamilton,19358.04,1768489680000
C00004,Donald Allen,31980.22,1768521060000
C00005,John Liskov,12991.61,1768537620000
C00006,Margaret Liskov,43594.71,1768540680000
C00007,Radia Knuth,31792.43,1768567260000
C00008,Radia Knuth,42739.92,1768581960000
C00009,Tim Liskov,19651.59,1768582680000
C00010,John Turing,8736.56,1768590300000
C00011,Vint Turing,11834.46,1768598400000
C00012,Donald Berners-Lee,29450.07,1768600920000
C00013,Radia Turing,18649.12,1768606020000
C00014,Ada Perlman,15944.1,1768615020000
C00015,Grace McCarthy,12018.05,1768617120000
C00016,Edsger Knuth,3399.61,1768617720000
C00017,Frances Turing,92.15,1768627920000
C00018,Alan Turing,34089.42,1768650360000
C00019,Margaret Liskov,24362.0,1768654440000
C00020,Grace Berners-Lee,21613.04,1768666680000
C00021,Donald Perlman,15495.28,1768775160000
C00022,Tim Dijkstra,38228.49,1768796640000
C00023,Grace McCarthy,20800.8,1768817640000
C00024,John Perlman,-391.42,1768828860000
C00025,Alan Liskov,33110.81,1768835160000
C00026,Alan Turing,-951.28,1768840440000
C00027,Barbara Hopper,27368.06,1768854480000
C00028,Grace Turing,7262.32,1768858140000
C00029,Vint Dijkstra,42314.09,1768861200000
C00030,Donald Hopper,-1868.35,1768881960000
C00031,Alan Lovelace,16708.43,1768882380000
C00032,Vint Dijkstra,46179.26,1768899720000
C00033,Margaret Berners-Lee,47961.4,1768934700000
C00034,Barbara Liskov,23454.41,1768941840000
C00035,Donald Turing,43372.52,1768941960000
C00036,Tim Hamilton,48895.15,1768962120000
C00037,Vint Liskov,16674.48,1768977060000
C00038,Margaret Lovelace,32189.68,1769014500000
C00039,Barbara Lovelace,4538.89,1769017320000
C00040,Alan McCarthy,26754.1,1769021520000
C00041,Ada Turing,32602.69,1769035920000
C00042,Alan Hopper,33346.71,1769048880000
C00043,Margaret Hopper,15814.07,1769055240000
C00044,Edsger Dijkstra,30099.37,1769059680000
C00045,Grace Turing,30981.71,1769077140000
C00046,John Cerf,4103.11,1769133720000
C00047,Radia Allen,47131.11,1769149320000
C00048,Alan Hamilton,25867.78,1769182680000
C00049,Alan Hopper,12473.89,1769203260000
C00050,Donald Knuth,28145.45,1769206740000
C00051,Radia Hamilton,33836.98,1769240940000
C00052,Vint Hopper,29804.23,1769261280000
C00053,Alan Knuth,4925.87,1769262180000
C00054,John Hopper,28911.34,1769279460000
C00055,Frances Berners-Lee,47318.4,1769282160000
C00056,Margaret Knuth,47941.89,1769289060000
C00057,Ada Dijkstra,28686.14,1769292300000
C00058,Edsger Hamilton,33517.13,1769293860000
C00059,Edsger Lovelace,40522.94,1769295720000
C00060,Ada Lovelace,21176.99,1769317380000
C00061,Barbara McCarthy,30026.18,1769331120000
C00062,Margaret Hopper,33315.69,1769335680000
C00063,Vint Turing,41983.45,1769376540000
C00064,Barbara Cerf,4474.31,1769381940000
C00065,Radia Berners-Lee,1751.3,1769383680000
C00066,John Cerf,41496.34,1769409240000
C00067,John Berners-Lee,8884.98,1769411940000
C00068,Grace Turing,10939.34,1769414520000
C00069,John Allen,14041.9,1769419920000
C00070,Grace Knuth,29878.91,1769427360000
C00071,Margaret Turing,33091.61,1769458440000
C00072,Frances Cerf,47260.6,1769463840000
C00073,Tim Hopper,44440.99,1769465700000
C00074,Edsger Liskov,3936.84,1769484540000
C00075,Grace Knuth,-1489.24,1769501640000
C00076,John Dijkstra,20986.12,1769524320000
C00077,Margaret Dijkstra,7788.88,1769542500000
C00078,Grace Turing,46928.94,1769573640000
C00079,Grace Dijkstra,31689.21,1769575140000
C00080,Ada Turing,29702.56,1769595240000
C00081,Alan Knuth,3091.97,1769621700000
C00082,Donald Hopper,17755.8,1769636940000
C00083,Barbara Knuth,-1533.12,1769649540000
C00084,Ada Hamilton,35276.69,1769655960000
C00085,Vint Knuth,38210.7,1769679000000
C00086,Barbara Berners-Lee,29493.5,1769682660000
C00087,Radia Knuth,24325.68,1769685660000
C00088,Tim Perlman,8609.26,1769697000000
C00089,Donald Berners-Lee,40716.27,1769704740000
C00090,John Perlman,14509.29,1769740200000
C00091,Frances McCarthy,35161.53,1769775720000
C00092,Grace Turing,17473.15,1769801760000
C00093,Radia Dijkstra,29873.85,1769808000000
C00094,Radia Turing,13502.72,1769809620000
C00095,Frances Hopper,41803.07,1769823240000
C00096,Radia McCarthy,6524.02,1769828340000
C00097,Ada McCarthy,28021.11,1769832120000
C00098,Radia Cerf,7730.92,1769873940000
C00099,Vint Perlman,33551.87,1769885880000
C00100,Radia Cerf,47395.09,1769896980000
C00101,Ada Knuth,1113.6,1769909340000
C00102,Donald Lovelace,24365.36,1769930100000
C00103,Grace Allen,41649.59,1769935320000
C00104,John Hopper,7465.54,1769938140000
C00105,John McCarthy,32985.01,1769939340000
C00106,Barbara Turing,39175.96,1769995020000
C00107,Barbara Perlman,1488.49,1770004080000
C00108,Vint Dijkstra,23160.63,1770010980000
C00109,Grace Turing,25428.26,1770014160000
C00110,Vint Hopper,39824.91,1770024360000
C00111,Alan Allen,16218.04,1770051720000
C00112,John Dijkstra,43634.59,1770070560000
C00113,Margaret Dijkstra,43115.39,1770070620000
C00114,Margaret Berners-Lee,19283.85,1770079680000
C00115,Tim Hamilton,42303.95,1770096420000
C00116,Vint Cerf,5594.79,1770106920000
C00117,Tim Turing,45300.51,1770178320000
C00118,Margaret Liskov,13677.36,1770182280000
C00119,Edsger Cerf,30616.29,1770213600000
C00120,Ada Perlman,43841.84,1770228960000
C00121,Barbara Turing,21945.23,1770258780000
C00122,Alan Berners-Lee,39589.18,1770270120000
C00123,Grace Perlman,26389.53,1770290520000
C00124,Alan Allen,17137.64,1770290940000
C00125,Alan Hopper,49694.55,1770306660000
C00126,Edsger McCarthy,39470.9,1770361020000
C00127,Alan Hopper,2489.51,1770377760000
C00128,Ada Cerf,7203.41,1770391380000
C00129,Barbara Lovelace,13476.6,1770392160000
C00130,Tim Cerf,40285.21,1770393480000
C00131,Margaret Berners-Lee,47702.91,1770447600000
C00132,Radia Perlman,17735.96,1770449940000
C00133,Margaret Turing,5737.77,1770454080000
C00134,Edsger Allen,44116.05,1770454800000
C00135,Donald Berners-Lee,-1677.35,1770459300000
C00136,Margaret McCarthy,11436.05,1770467580000
C00137,Radia McCarthy,1836.76,1770496740000
C00138,Frances Hamilton,32275.93,1770504900000
C00139,Margaret Lovelace,41188.23,1770523020000
C00140,Donald Berners-Lee,13805.99,1770539460000
C00141,Margaret Hamilton,34667.96,1770554580000
C00142,John Hopper,5808.0,1770557640000
C00143,Ada Lovelace,-1049.68,1770567840000
C00144,Margaret Lovelace,22177.73,1770575640000
C00145,Donald Liskov,13498.83,1770579120000
C00146,Barbara Dijkstra,1215.55,1770604920000
C00147,Ada Hamilton,28415.63,1770615660000
C00148,Margaret Knuth,13994.54,1770616620000
C00149,Tim Turing,7981.22,1770622560000
C00150,Radia McCarthy,7948.98,1770623820000
C00151,Ada Hopper,43745.84,1770637860000
C00152,Frances Perlman,25979.59,1770647940000
C00153,Donald McCarthy,13244.15,1770657180000
C00154,Vint Turing,19425.81,1770674280000
