row_id,full_name,balance,currency,updated_at
C00196,Radia Knuth,46925.79,SEK,1775539500000
C00185,Grace Hopper,2836.43,SEK,1775491620000
C00199,Frances Hamilton,49225.3,USD,1775547060000
C00014,Radia Lovelace,3495.9,GBP,1775024160000
C00098,Frances Dijkstra,21646.79,SEK,1775285040000
C00080,Radia Liskov,36458.37,USD,1775215440000
C00118,Radia Turing,26688.83,USD,1775353020000
C00060,Barbara Lovelace,1706.1,SEK,1775169720000
C00173,Frances McCarthy,35276.49,USD,1775462100000
C00147,Vint Perlman,33759.64,USD,1775396400000
C00093,Vint Perlman,48664.17,EUR,1775276460000
C00176,Edsger Dijkstra,15027.04,EUR,1775474040000
C00177,Radia Cerf,19692.09,SEK,1775478120000
C00054,Edsger Allen,7624.03,SEK,1775158020000
C00040,Barbara Hamilton,27953.14,USD,1775110320000
C00019,Edsger Cerf,7013.0,EUR,1775045400000
C00028,Barbara Lovelace,43487.89,USD,1775079120000
C00171,Alan McCarthy,10492.04,SEK,1775457120000
C00189,Grace Berners-Lee,29955.63,USD,1775504820000
C00180,Radia Hamilton,46690.31,USD,1775481960000
C00025,Grace Turing,43366.57,EUR,1775072400000
C00166,Edsger Berners-Lee,45594.26,GBP,1775444580000
C00129,Margaret Perlman,28429.81,EUR,1775369160000
C00198,Edsger Allen,19738.05,SEK,1775546940000
C00183,Edsger Hopper,8916.99,EUR,1775485860000
C00193,Alan Liskov,30431.15,SEK,1775517720000
C00132,Grace Perlman,20279.69,EUR,1775371620000
C00094,Radia McCarthy,21975.9,GBP,1775278320000
C00121,Donald Cerf,31495.77,GBP,1775358240000
C00112,Ada Turing,43889.8,SEK,1775316000000
C00002,Alan Knuth,20638.12,GBP,1775004960000
C00202,Radia Knuth,2036.9,SEK,1775560800000
C00194,Vint Berners-Lee,12148.81,SEK,1775536620000
C00024,Radia Allen,6975.18,EUR,1775071620000
C00006,Ada Liskov,37597.24,USD,1775014320000
C00128,Ada Perlman,30454.86,USD,1775368680000
C00110,Grace Berners-Lee,40110.62,EUR,1775315820000
C00016,Tim Lovelace,13239.29,SEK,1775035620000
C00191,Edsger Dijkstra,1170.93,SEK,1775508840000
C00105,Donald Turing,2746.75,USD,1775306340000
C00044,Edsger Perlman,12659.18,USD,1775117640000
C00213,Alan Hamilton,27483.22,SEK,1775606280000
C00170,Radia Hamilton,11280.35,EUR,1775453400000
C00201,John Knuth,-1061.92,EUR,1775558640000
C00203,John Hopper,16050.38,GBP,1775563080000
C00090,Frances Liskov,20432.86,GBP,1775254980000
C00138,Barbara Hopper,28208.73,USD,1775383080000
C00100,Alan Allen,46600.3,GBP,1775294940000
C00038,Margaret Berners-Lee,46948.26,EUR,1775102760000
C00144,John Perlman,34758.47,SEK,1775390460000
C00086,Alan Allen,9348.92,GBP,1775233620000
C00075,Barbara Turing,24943.86,EUR,1775204040000
C00088,Ada Cerf,5309.94,EUR,1775237700000
C00021,Tim Dijkstra,29119.33,SEK,1775054400000
C00083,Vint Allen,14796.91,SEK,1775222280000
C00031,Edsger Allen,49814.35,EUR,1775086260000
C00186,Margaret Cerf,31767.08,EUR,1775493300000
C00089,Frances Perlman,42232.42,SEK,1775251440000
C00190,Frances Perlman,15388.81,USD,1775506920000
C00078,Edsger Allen,20033.51,SEK,1775211000000
C00101,Donald Liskov,17760.94,SEK,1775296200000
C00182,Grace Cerf,40828.21,GBP,1775482800000
C00187,Frances Allen,35088.39,EUR,1775498160000
C00029,John Turing,5836.94,EUR,1775079780000
C00151,Edsger Lovelace,45027.31,SEK,1775410440000
C00153,Tim Turing,33286.48,EUR,1775412960000
C00077,Alan Hamilton,18103.49,SEK,1775209260000
C00210,Grace Knuth,38136.36,EUR,1775598420000
C00004,Ada Knuth,44868.29,GBP,1775010660000
C00205,Ada Allen,8197.56,GBP,1775570940000
C00122,Donald Allen,46847.22,GBP,1775363820000
C00039,Margaret Liskov,16131.59,GBP,1775106240000
C00055,John Dijkstra,30388.52,SEK,1775158680000
C00197,Margaret Liskov,16691.74,USD,1775544120000
C00204,Barbara Knuth,4799.49,USD,1775568840000
C00206,Margaret Lovelace,34822.72,SEK,1775581200000
C00076,Tim Turing,30236.93,USD,1775207280000
C00114,Ada Hamilton,11364.5,USD,1775323440000
C00062,Frances McCarthy,47547.75,SEK,1775172000000
C00134,Ada Hopper,34517.79,SEK,1775378760000
C00137,Vint Cerf,23330.65,GBP,1775382780000
C00106,Vint Turing,35753.0,USD,1775308380000
C00192,Vint Dijkstra,33766.89,EUR,1775509740000
C00073,Margaret Hamilton,34844.51,GBP,1775201700000
C00141,John Berners-Lee,38141.88,GBP,1775389680000
C00081,Vint Hopper,-709.83,GBP,1775220240000
C00065,Grace Lovelace,29209.2,SEK,1775179620000
C00211,Frances Allen,43696.88,SEK,1775603940000
C00092,Tim Perlman,8890.4,SEK,1775275380000
C00115,Alan Dijkstra,15892.98,USD,1775325300000
C00111,Frances Cerf,-1833.55,USD,1775316000000
C00136,Ada Hamilton,48627.69,USD,1775381160000
C00104,Alan Turing,34528.74,EUR,1775305980000
C00109,Donald Lovelace,8540.63,EUR,1775309100000
C00181,Vint Knuth,4133.17,EUR,1775482260000
C00056,Grace Knuth,36742.72,USD,1775161680000
C00139,Barbara Knuth,19668.27,GBP,1775389380000
C00169,Vint Liskov,7897.68,GBP,1775445780000
C00207,Radia Turing,26571.12,USD,1775597100000
C00023,Edsger Allen,46291.68,GBP,1775067960000
C00161,Grace Allen,4235.36,SEK,1775431380000
C00050,Margaret Knuth,22540.26,EUR,1775128200000
C00102,Radia Knuth,37344.34,SEK,1775299260000
C00067,Ada Hopper,17577.31,GBP,1775179860000
C00061,John Dijkstra,-1098.67,EUR,1775171700000
C00165,Vint Lovelace,49622.12,GBP,1775443920000
C00052,Radia Allen,12066.83,SEK,1775150100000
C00127,Donald Liskov,44029.98,GBP,1775367840000
C00010,Frances Liskov,3544.36,GBP,1775018640000
C00174,Donald Knuth,45261.48,USD,1775466120000
C00113,Alan Allen,42921.7,SEK,1775319000000
C00133,Barbara Dijkstra,8139.79,SEK,1775373960000
C00091,Vint Knuth,31300.48,USD,1775269620000
C00084,Vint Liskov,31456.2,USD,1775225400000
C00130,Donald Liskov,40010.82,EUR,1775370240000
C00150,Barbara Perlman,31757.31,GBP,1775408880000
C00035,Margaret Perlman,10645.22,USD,1775094660000
